onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0821	1	1	1	1	0.5	1	0	0	1
20.816	1	2	1	1	0.5	1	0	0	0
33.035	1	3	1	1	0.5	1	1	0	0
44.391	1	4	1	1	0.5	1	0	0	0
51.168	1	5	1	1	0.5	1	0	0	0
67.209	1	6	3	1	0.5	-1	0	1	0
81.429	1	7	3	1	0.5	-1	0	0	0
93.415	1	8	3	1	0.5	-1	1	0	0
104.34	1	9	3	1	0.5	-1	0	0	0
111.46	1	10	3	1	0.5	-1	0	0	0
127.51	1	11	2	1	0.5	1	1	0	0
141.38	1	12	2	1	0.5	1	0	0	0
157.49	1	13	2	1	0.5	1	0	1	0
168.95	1	14	2	1	0.5	1	0	0	0
175.49	1	15	2	1	0.5	1	0	0	0
191.53	1	16	4	1	0.5	-1	0	0	1
206.7	1	17	4	1	0.5	-1	0	0	0
222.71	1	18	4	1	0.5	-1	1	0	0
235.63	1	19	4	1	0.5	-1	0	0	0
242.09	1	20	4	1	0.5	-1	0	0	0
258.13	1	21	2	2	0	-1	1	0	0
273.5	1	22	2	2	0	-1	0	0	0
289.43	1	23	2	2	0	-1	0	0	1
302	1	24	2	2	0	-1	0	0	0
310.01	1	25	2	2	0	-1	0	0	0
326.06	1	26	3	2	0	1	0	1	0
341.35	1	27	3	2	0	1	0	0	0
353.44	1	28	3	2	0	1	0	0	1
366.74	1	29	3	2	0	1	0	0	0
373.21	1	30	3	2	0	1	0	0	0
389.25	1	31	1	2	0	1	0	0	1
408.28	1	32	1	2	0	1	0	0	0
420.2	1	33	1	2	0	1	1	0	0
432.24	1	34	1	2	0	1	0	0	0
438.62	1	35	1	2	0	1	0	0	0
454.66	1	36	4	2	0	1	0	0	1
469.72	1	37	4	2	0	1	0	0	0
487.35	1	38	4	2	0	1	0	1	0
499.3	1	39	4	2	0	1	0	0	0
505.63	1	40	4	2	0	1	0	0	0
521.67	1	41	1	3	-0.25	1	0	0	1
540	1	42	1	3	-0.25	1	0	0	0
551.79	1	43	1	3	-0.25	1	1	0	0
563.21	1	44	1	3	-0.25	1	0	0	0
569.03	1	45	1	3	-0.25	1	0	0	0
585.07	1	46	4	3	-0.25	1	0	0	1
599.85	1	47	4	3	-0.25	1	0	0	0
616.25	1	48	4	3	-0.25	1	0	1	0
627.36	1	49	4	3	-0.25	1	0	0	0
637.98	1	50	4	3	-0.25	1	0	0	0
