onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.076581	5	1	1	128	1	0	1	0	0	0
4.4365	5	2	2	149	-1	0	0	1	0	0
8.2621	5	3	3	146	1	0	0	1	0	0
12.591	5	4	4	142	1	0	0	1	0	0
25.935	5	5	5	101	1	1	0	0	0	0
30.264	5	6	6	109	-1	1	0	0	0	0
36.591	5	7	7	147	1	0	0	1	0	0
40.424	5	8	8	105	1	1	0	0	0	0
45.754	5	9	9	101	1	1	0	0	0	0
53.337	5	10	10	148	-1	0	0	1	0	0
57.669	5	11	11	130	-1	0	1	0	0	0
61.996	5	12	12	126	1	0	1	0	0	0
65.824	5	13	13	104	-1	1	0	0	0	0
71.653	5	14	14	102	1	1	0	0	0	0
75.489	5	15	15	130	-1	0	1	0	0	0
79.818	5	16	16	103	1	1	0	0	0	0
91.534	5	17	17	124	1	0	1	0	0	0
95.867	5	18	18	108	1	1	0	0	0	0
99.694	5	19	19	109	-1	1	0	0	0	0
110.35	5	20	21	145	1	0	0	1	0	0
113.68	5	21	22	129	-1	0	1	0	0	0
118.02	5	22	23	102	1	1	0	0	0	0
129.95	5	23	25	123	1	0	1	0	0	0
134.28	5	24	26	124	1	0	1	0	0	0
138.11	5	25	27	110	-1	1	0	0	0	0
142.44	5	26	28	146	1	0	0	1	0	0
148.76	5	27	29	107	-1	1	0	0	0	0
156.43	5	28	31	150	-1	0	0	1	0	0
160.26	5	29	32	123	1	0	1	0	0	0
168.1	5	30	33	144	1	0	0	1	0	0
176.09	5	31	34	145	1	0	0	1	0	0
182.42	5	32	35	127	1	0	1	0	0	0
187.25	5	33	36	143	-1	0	0	1	0	0
196.38	5	34	37	147	1	0	0	1	0	0
204.54	5	35	39	121	1	0	1	0	0	0
215.96	5	36	40	128	1	0	1	0	0	0
220.29	5	37	41	161	0	0	0	0	1	0
224.12	5	38	42	169	0	0	0	0	1	0
229.45	5	39	43	168	0	0	0	0	1	0
233.77	5	40	44	165	0	0	0	0	1	0
237.6	5	41	45	61	0	0	0	0	0	1
242.95	5	42	46	61	0	0	0	0	0	1
247.23	5	43	47	61	0	0	0	0	0	1
253.55	5	44	48	61	0	0	0	0	0	1
257.8	5	45	49	61	0	0	0	0	0	1
296.9	5	46	50	170	0	0	0	0	1	0
300.73	5	47	51	162	0	0	0	0	1	0
306.06	5	48	52	166	0	0	0	0	1	0
310.38	5	49	53	163	0	0	0	0	1	0
314.21	5	50	54	108	1	1	0	0	0	0
318.54	5	51	55	124	1	0	1	0	0	0
322.36	5	52	56	129	-1	0	1	0	0	0
326.69	5	53	57	110	-1	1	0	0	0	0
332.52	5	54	58	147	1	0	0	1	0	0
338.86	5	55	59	145	1	0	0	1	0	0
346.29	5	56	60	130	-1	0	1	0	0	0
350.12	5	57	61	124	1	0	1	0	0	0
359.19	5	58	62	103	1	1	0	0	0	0
362.51	5	59	63	126	1	0	1	0	0	0
369.98	5	60	64	145	1	0	0	1	0	0
377.14	5	61	66	128	1	0	1	0	0	0
381.47	5	62	67	142	1	0	0	1	0	0
387.8	5	63	68	123	1	0	1	0	0	0
392.13	5	64	69	144	1	0	0	1	0	0
