onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0304	4	1	9	1	0.5	-1	1	0	0
20.372	4	2	9	1	0.5	-1	0	0	0
32.127	4	3	9	1	0.5	-1	0	1	0
42.969	4	4	9	1	0.5	-1	0	0	0
48.533	4	5	9	1	0.5	-1	0	0	0
64.581	4	6	10	1	0.5	-1	0	1	0
78.265	4	7	10	1	0.5	-1	0	0	0
94.281	4	8	10	1	0.5	-1	1	0	0
105.4	4	9	10	1	0.5	-1	0	0	0
111.18	4	10	10	1	0.5	-1	0	0	0
127.23	4	11	7	4	-0.375	1	0	0	1
145.39	4	12	7	4	-0.375	1	0	0	0
162.09	4	13	7	4	-0.375	1	0	1	0
172.93	4	14	7	4	-0.375	1	0	0	0
178.03	4	15	7	4	-0.375	1	0	0	0
194.08	4	16	8	4	-0.375	1	0	1	0
212.32	4	17	8	4	-0.375	1	0	0	0
224.49	4	18	8	4	-0.375	1	1	0	0
235.17	4	19	8	4	-0.375	1	0	0	0
240.25	4	20	8	4	-0.375	1	0	0	0
256.3	4	21	9	2	0	0	1	0	0
274.31	4	22	9	2	0	0	0	0	0
286.18	4	23	9	2	0	0	0	0	1
300.59	4	24	9	2	0	0	0	0	0
306.2	4	25	9	2	0	0	0	0	0
322.25	4	26	10	2	0	0	0	1	0
335.98	4	27	10	2	0	0	0	0	0
352.46	4	28	10	2	0	0	0	0	1
363.6	4	29	10	2	0	0	0	0	0
369.12	4	30	10	2	0	0	0	0	0
385.17	4	31	9	3	0	0	1	0	0
404.25	4	32	9	3	0	0	0	0	0
415.71	4	33	9	3	0	0	0	0	1
426.63	4	34	9	3	0	0	0	0	0
431.93	4	35	9	3	0	0	0	0	0
447.98	4	36	10	3	0	0	0	1	0
461.18	4	37	10	3	0	0	0	0	0
477.45	4	38	10	3	0	0	1	0	0
488.74	4	39	10	3	0	0	0	0	0
494.1	4	40	10	3	0	0	0	0	0
510.15	4	41	9	4	0	0	1	0	0
528.11	4	42	9	4	0	0	0	0	0
539.8	4	43	9	4	0	0	0	1	0
550.83	4	44	9	4	0	0	0	0	0
556.9	4	45	9	4	0	0	0	0	0
572.95	4	46	10	4	0	0	0	1	0
586.3	4	47	10	4	0	0	0	0	0
602.54	4	48	10	4	0	0	0	0	1
613.59	4	49	10	4	0	0	0	0	0
619.22	4	50	10	4	0	0	0	0	0
