onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0312	2	1	3	3	-0.25	1	0	1	0
13.941	2	2	3	3	-0.25	1	0	0	0
24.883	2	3	3	3	-0.25	1	1	0	0
36.008	2	4	3	3	-0.25	1	0	0	0
42.069	2	5	3	3	-0.25	1	0	0	0
57.102	2	6	2	3	-0.25	-1	0	0	1
69.348	2	7	2	3	-0.25	-1	0	0	0
84.153	2	8	2	3	-0.25	-1	0	1	0
95.642	2	9	2	3	-0.25	-1	0	0	0
102.27	2	10	2	3	-0.25	-1	0	0	0
117.3	2	11	4	4	-0.375	1	0	1	0
130.36	2	12	4	4	-0.375	1	0	0	0
144.57	2	13	4	4	-0.375	1	0	0	1
155.71	2	14	4	4	-0.375	1	0	0	0
161.82	2	15	4	4	-0.375	1	0	0	0
176.85	2	16	5	1	0.5	1	1	0	0
193.52	2	17	5	1	0.5	1	0	0	0
208.18	2	18	5	1	0.5	1	0	0	1
219.6	2	19	5	1	0.5	1	0	0	0
225.43	2	20	5	1	0.5	1	0	0	0
240.47	2	21	1	4	-0.375	1	1	0	0
257.78	2	22	1	4	-0.375	1	0	0	0
268.71	2	23	1	4	-0.375	1	0	1	0
280.08	2	24	1	4	-0.375	1	0	0	0
286.16	2	25	1	4	-0.375	1	0	0	0
301.2	2	26	6	1	0.5	-1	0	0	1
313.42	2	27	6	1	0.5	-1	0	0	0
326.4	2	28	6	1	0.5	-1	1	0	0
337.93	2	29	6	1	0.5	-1	0	0	0
345.1	2	30	6	1	0.5	-1	0	0	0
360.13	2	31	2	4	-0.375	-1	0	0	1
372.46	2	32	2	4	-0.375	-1	0	0	0
387.2	2	33	2	4	-0.375	-1	0	1	0
398.06	2	34	2	4	-0.375	-1	0	0	0
404.6	2	35	2	4	-0.375	-1	0	0	0
419.63	2	36	3	4	-0.375	1	0	1	0
432.41	2	37	3	4	-0.375	1	0	0	0
444.6	2	38	3	4	-0.375	1	1	0	0
456	2	39	3	4	-0.375	1	0	0	0
462.08	2	40	3	4	-0.375	1	0	0	0
477.11	2	41	5	2	0	-1	1	0	0
493.45	2	42	5	2	0	-1	0	0	0
509.04	2	43	5	2	0	-1	0	1	0
520.16	2	44	5	2	0	-1	0	0	0
526.47	2	45	5	2	0	-1	0	0	0
541.51	2	46	6	2	0	1	0	0	1
553.77	2	47	6	2	0	1	0	0	0
565.06	2	48	6	2	0	1	0	1	0
576.47	2	49	6	2	0	1	0	0	0
583.14	2	50	6	2	0	1	0	0	0
