onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.081832	5	1	1	128	1	0	1	0	0	0
4.4391	5	2	2	149	-1	0	0	1	0	0
8.2655	5	3	3	146	1	0	0	1	0	0
12.595	5	4	4	142	1	0	0	1	0	0
31.294	5	5	5	101	1	1	0	0	0	0
35.623	5	6	6	109	-1	1	0	0	0	0
41.95	5	7	7	147	1	0	0	1	0	0
45.784	5	8	8	105	1	1	0	0	0	0
51.113	5	9	9	101	1	1	0	0	0	0
63.985	5	10	10	148	-1	0	0	1	0	0
68.318	5	11	11	130	-1	0	1	0	0	0
72.644	5	12	12	126	1	0	1	0	0	0
76.471	5	13	13	104	-1	1	0	0	0	0
82.301	5	14	14	102	1	1	0	0	0	0
86.137	5	15	15	130	-1	0	1	0	0	0
90.467	5	16	16	103	1	1	0	0	0	0
107.77	5	17	17	124	1	0	1	0	0	0
112.1	5	18	18	108	1	1	0	0	0	0
115.93	5	19	19	109	-1	1	0	0	0	0
126.59	5	20	21	145	1	0	0	1	0	0
129.92	5	21	22	129	-1	0	1	0	0	0
134.25	5	22	23	102	1	1	0	0	0	0
147.7	5	23	25	123	1	0	1	0	0	0
152.02	5	24	26	124	1	0	1	0	0	0
155.85	5	25	27	110	-1	1	0	0	0	0
160.18	5	26	28	146	1	0	0	1	0	0
166.51	5	27	29	107	-1	1	0	0	0	0
169.84	5	28	30	122	-1	0	1	0	0	0
186.51	5	29	32	123	1	0	1	0	0	0
195.83	5	30	33	144	1	0	0	1	0	0
203.55	5	31	34	145	1	0	0	1	0	0
209.88	5	32	35	127	1	0	1	0	0	0
214.71	5	33	36	143	-1	0	0	1	0	0
233.84	5	34	37	147	1	0	0	1	0	0
242	5	35	39	121	1	0	1	0	0	0
252.04	5	36	40	128	1	0	1	0	0	0
256.37	5	37	41	161	0	0	0	0	1	0
260.2	5	38	42	169	0	0	0	0	1	0
265.53	5	39	43	168	0	0	0	0	1	0
269.87	5	40	44	165	0	0	0	0	1	0
273.69	5	41	45	61	0	0	0	0	0	1
279.02	5	42	46	61	0	0	0	0	0	1
283.37	5	43	47	61	0	0	0	0	0	1
289.75	5	44	48	61	0	0	0	0	0	1
294.08	5	45	49	61	0	0	0	0	0	1
332.57	5	46	50	170	0	0	0	0	1	0
336.4	5	47	51	162	0	0	0	0	1	0
341.73	5	48	52	166	0	0	0	0	1	0
346.06	5	49	53	163	0	0	0	0	1	0
349.89	5	50	54	108	1	1	0	0	0	0
354.22	5	51	55	124	1	0	1	0	0	0
358.05	5	52	56	129	-1	0	1	0	0	0
362.38	5	53	57	110	-1	1	0	0	0	0
368.21	5	54	58	147	1	0	0	1	0	0
374.54	5	55	59	145	1	0	0	1	0	0
385.46	5	56	60	130	-1	0	1	0	0	0
389.28	5	57	61	124	1	0	1	0	0	0
400.78	5	58	62	103	1	1	0	0	0	0
404.1	5	59	63	126	1	0	1	0	0	0
413.06	5	60	64	145	1	0	0	1	0	0
