onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.068117	5	1	1	122	1	0	1	0	0	0
4.4253	5	2	2	149	-1	0	0	1	0	0
8.2515	5	3	3	146	1	0	0	1	0	0
12.581	5	4	4	142	1	0	0	1	0	0
23.72	5	5	5	106	1	1	0	0	0	0
28.05	5	6	6	101	-1	1	0	0	0	0
34.377	5	7	7	147	1	0	0	1	0	0
38.21	5	8	8	104	1	1	0	0	0	0
43.54	5	9	9	106	1	1	0	0	0	0
50.426	5	10	10	148	-1	0	0	1	0	0
54.758	5	11	11	127	-1	0	1	0	0	0
59.085	5	12	12	121	1	0	1	0	0	0
62.913	5	13	13	103	-1	1	0	0	0	0
68.743	5	14	14	108	1	1	0	0	0	0
72.578	5	15	15	127	-1	0	1	0	0	0
76.908	5	16	16	105	1	1	0	0	0	0
88.027	5	17	17	129	1	0	1	0	0	0
92.359	5	18	18	110	-1	1	0	0	0	0
96.187	5	19	19	101	-1	1	0	0	0	0
100.52	5	20	20	141	-1	0	0	1	0	0
111.04	5	21	21	145	1	0	0	1	0	0
114.37	5	22	22	123	-1	0	1	0	0	0
118.7	5	23	23	108	1	1	0	0	0	0
129.98	5	24	25	124	1	0	1	0	0	0
134.3	5	25	26	129	1	0	1	0	0	0
138.13	5	26	27	102	-1	1	0	0	0	0
142.46	5	27	28	146	1	0	0	1	0	0
148.79	5	28	29	107	-1	1	0	0	0	0
156.45	5	29	31	150	-1	0	0	1	0	0
160.28	5	30	32	124	1	0	1	0	0	0
167.64	5	31	33	144	1	0	0	1	0	0
174.6	5	32	34	145	1	0	0	1	0	0
180.93	5	33	35	130	1	0	1	0	0	0
185.77	5	34	36	143	-1	0	0	1	0	0
194.17	5	35	37	147	1	0	0	1	0	0
202.33	5	36	39	125	1	0	1	0	0	0
212.68	5	37	40	122	1	0	1	0	0	0
217.02	5	38	41	161	0	0	0	0	1	0
220.84	5	39	42	169	0	0	0	0	1	0
226.17	5	40	43	168	0	0	0	0	1	0
230.5	5	41	44	165	0	0	0	0	1	0
234.32	5	42	45	61	0	0	0	0	0	1
239.68	5	43	46	61	0	0	0	0	0	1
244.07	5	44	47	61	0	0	0	0	0	1
250.41	5	45	48	61	0	0	0	0	0	1
254.81	5	46	49	61	0	0	0	0	0	1
291.97	5	47	50	170	0	0	0	0	1	0
295.8	5	48	51	162	0	0	0	0	1	0
301.13	5	49	52	166	0	0	0	0	1	0
305.45	5	50	53	163	0	0	0	0	1	0
309.28	5	51	54	110	-1	1	0	0	0	0
313.61	5	52	55	129	1	0	1	0	0	0
317.43	5	53	56	123	-1	0	1	0	0	0
321.76	5	54	57	102	-1	1	0	0	0	0
327.59	5	55	58	147	1	0	0	1	0	0
333.93	5	56	59	145	1	0	0	1	0	0
341.57	5	57	60	127	-1	0	1	0	0	0
345.4	5	58	61	129	1	0	1	0	0	0
353.36	5	59	62	105	1	1	0	0	0	0
356.69	5	60	63	121	1	0	1	0	0	0
364.75	5	61	64	145	1	0	0	1	0	0
368.08	5	62	65	141	-1	0	0	1	0	0
371.91	5	63	66	122	1	0	1	0	0	0
376.24	5	64	67	142	1	0	0	1	0	0
382.57	5	65	68	124	1	0	1	0	0	0
386.9	5	66	69	144	1	0	0	1	0	0
391.73	5	67	70	101	-1	1	0	0	0	0
398.05	5	68	71	146	1	0	0	1	0	0
404.95	5	69	72	107	-1	1	0	0	0	0
422.73	5	70	75	124	1	0	1	0	0	0
426.06	5	71	76	150	-1	0	0	1	0	0
434.22	5	72	78	108	1	1	0	0	0	0
438.55	5	73	79	130	1	0	1	0	0	0
442.37	5	74	80	148	-1	0	0	1	0	0
446.7	5	75	81	106	1	1	0	0	0	0
451.53	5	76	82	103	-1	1	0	0	0	0
460.15	5	77	83	143	-1	0	0	1	0	0
463.47	5	78	84	106	1	1	0	0	0	0
467.31	5	79	85	104	1	1	0	0	0	0
475.06	5	80	86	108	1	1	0	0	0	0
478.38	5	81	87	125	1	0	1	0	0	0
482.71	5	82	88	127	-1	0	1	0	0	0
