onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0192	3	1	7	1	0.5	1	0	0	1
19.301	3	2	7	1	0.5	1	0	0	0
34.835	3	3	7	1	0.5	1	0	1	0
46.275	3	4	7	1	0.5	1	0	0	0
52.386	3	5	7	1	0.5	1	0	0	0
67.414	3	6	8	1	0.5	-1	0	1	0
81.124	3	7	8	1	0.5	-1	0	0	0
95.299	3	8	8	1	0.5	-1	0	0	1
107.87	3	9	8	1	0.5	-1	0	0	0
114.89	3	10	8	1	0.5	-1	0	0	0
129.92	3	11	6	3	-0.25	-1	0	0	1
147.27	3	12	6	3	-0.25	-1	0	0	0
159.99	3	13	6	3	-0.25	-1	1	0	0
172.47	3	14	6	3	-0.25	-1	0	0	0
178.83	3	15	6	3	-0.25	-1	0	0	0
193.86	3	16	5	3	-0.25	-1	1	0	0
212.11	3	17	5	3	-0.25	-1	0	0	0
228.05	3	18	5	3	-0.25	-1	0	1	0
240.12	3	19	5	3	-0.25	-1	0	0	0
246.03	3	20	5	3	-0.25	-1	0	0	0
261.06	3	21	8	2	0	1	0	1	0
279.54	3	22	8	2	0	1	0	0	0
291.73	3	23	8	2	0	1	1	0	0
303.32	3	24	8	2	0	1	0	0	0
309.49	3	25	8	2	0	1	0	0	0
324.52	3	26	7	2	0	1	0	0	1
337.97	3	27	7	2	0	1	0	0	0
353.58	3	28	7	2	0	1	0	1	0
365.24	3	29	7	2	0	1	0	0	0
371.63	3	30	7	2	0	1	0	0	0
386.66	3	31	8	3	-0.25	1	0	1	0
406.57	3	32	8	3	-0.25	1	0	0	0
419.04	3	33	8	3	-0.25	1	1	0	0
430.84	3	34	8	3	-0.25	1	0	0	0
436.9	3	35	8	3	-0.25	1	0	0	0
451.93	3	36	7	3	-0.25	1	0	0	1
469.06	3	37	7	3	-0.25	1	0	0	0
484.42	3	38	7	3	-0.25	1	0	1	0
495.81	3	39	7	3	-0.25	1	0	0	0
501.98	3	40	7	3	-0.25	1	0	0	0
517	3	41	5	4	-0.375	1	1	0	0
535.21	3	42	5	4	-0.375	1	0	0	0
551.8	3	43	5	4	-0.375	1	0	0	1
564.12	3	44	5	4	-0.375	1	0	0	0
569.93	3	45	5	4	-0.375	1	0	0	0
584.96	3	46	6	4	-0.375	1	0	0	1
598.8	3	47	6	4	-0.375	1	0	0	0
610.52	3	48	6	4	-0.375	1	0	1	0
622.2	3	49	6	4	-0.375	1	0	0	0
628.44	3	50	6	4	-0.375	1	0	0	0
