onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.077927	5	1	1	122	1	0	1	0	0	0
4.4367	5	2	2	149	-1	0	0	1	0	0
8.2658	5	3	3	146	1	0	0	1	0	0
12.594	5	4	4	142	1	0	0	1	0	0
35.338	5	5	5	106	1	1	0	0	0	0
39.667	5	6	6	101	-1	1	0	0	0	0
45.994	5	7	7	147	1	0	0	1	0	0
49.827	5	8	8	104	1	1	0	0	0	0
55.156	5	9	9	106	1	1	0	0	0	0
63.386	5	10	10	148	-1	0	0	1	0	0
67.719	5	11	11	127	-1	0	1	0	0	0
72.046	5	12	12	121	1	0	1	0	0	0
75.873	5	13	13	103	-1	1	0	0	0	0
81.703	5	14	14	108	1	1	0	0	0	0
85.538	5	15	15	127	-1	0	1	0	0	0
89.868	5	16	16	105	1	1	0	0	0	0
98.65	5	17	17	129	1	0	1	0	0	0
106.81	5	18	19	101	-1	1	0	0	0	0
111.14	5	19	20	141	-1	0	0	1	0	0
127.15	5	20	21	145	1	0	0	1	0	0
130.48	5	21	22	123	-1	0	1	0	0	0
134.81	5	22	23	108	1	1	0	0	0	0
147.33	5	23	25	124	1	0	1	0	0	0
151.66	5	24	26	129	1	0	1	0	0	0
155.49	5	25	27	102	-1	1	0	0	0	0
159.82	5	26	28	146	1	0	0	1	0	0
166.14	5	27	29	107	-1	1	0	0	0	0
173.81	5	28	31	150	-1	0	0	1	0	0
177.64	5	29	32	124	1	0	1	0	0	0
188.4	5	30	33	144	1	0	0	1	0	0
199.19	5	31	34	145	1	0	0	1	0	0
205.52	5	32	35	130	1	0	1	0	0	0
210.35	5	33	36	143	-1	0	0	1	0	0
222.09	5	34	37	147	1	0	0	1	0	0
230.24	5	35	39	125	1	0	1	0	0	0
238.48	5	36	40	122	1	0	1	0	0	0
242.81	5	37	41	161	0	0	0	0	1	0
246.64	5	38	42	169	0	0	0	0	1	0
251.97	5	39	43	168	0	0	0	0	1	0
256.29	5	40	44	165	0	0	0	0	1	0
260.12	5	41	45	61	0	0	0	0	0	1
265.52	5	42	46	61	0	0	0	0	0	1
269.86	5	43	47	61	0	0	0	0	0	1
276.12	5	44	48	61	0	0	0	0	0	1
280.41	5	45	49	61	0	0	0	0	0	1
317.94	5	46	50	170	0	0	0	0	1	0
321.77	5	47	51	162	0	0	0	0	1	0
327.1	5	48	52	166	0	0	0	0	1	0
331.42	5	49	53	163	0	0	0	0	1	0
339.58	5	50	55	129	1	0	1	0	0	0
343.41	5	51	56	123	-1	0	1	0	0	0
347.74	5	52	57	102	-1	1	0	0	0	0
353.57	5	53	58	147	1	0	0	1	0	0
359.9	5	54	59	145	1	0	0	1	0	0
368.43	5	55	60	127	-1	0	1	0	0	0
372.26	5	56	61	129	1	0	1	0	0	0
380.27	5	57	62	105	1	1	0	0	0	0
383.59	5	58	63	121	1	0	1	0	0	0
393.43	5	59	64	145	1	0	0	1	0	0
396.76	5	60	65	141	-1	0	0	1	0	0
400.59	5	61	66	122	1	0	1	0	0	0
404.92	5	62	67	142	1	0	0	1	0	0
411.25	5	63	68	124	1	0	1	0	0	0
