onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.072693	5	1	1	122	1	0	1	0	0	0
4.4288	5	2	2	149	-1	0	0	1	0	0
8.2548	5	3	3	146	1	0	0	1	0	0
12.584	5	4	4	142	1	0	0	1	0	0
23.176	5	5	5	106	1	1	0	0	0	0
27.506	5	6	6	101	-1	1	0	0	0	0
33.833	5	7	7	147	1	0	0	1	0	0
37.666	5	8	8	104	1	1	0	0	0	0
42.995	5	9	9	106	1	1	0	0	0	0
52.303	5	10	10	148	-1	0	0	1	0	0
56.635	5	11	11	127	-1	0	1	0	0	0
60.963	5	12	12	121	1	0	1	0	0	0
64.79	5	13	13	103	-1	1	0	0	0	0
70.619	5	14	14	108	1	1	0	0	0	0
74.455	5	15	15	127	-1	0	1	0	0	0
78.784	5	16	16	105	1	1	0	0	0	0
87.185	5	17	17	129	1	0	1	0	0	0
91.517	5	18	18	110	-1	1	0	0	0	0
95.344	5	19	19	101	-1	1	0	0	0	0
99.674	5	20	20	141	-1	0	0	1	0	0
109.91	5	21	21	145	1	0	0	1	0	0
113.25	5	22	22	123	-1	0	1	0	0	0
117.58	5	23	23	108	1	1	0	0	0	0
129.3	5	24	25	124	1	0	1	0	0	0
133.63	5	25	26	129	1	0	1	0	0	0
137.46	5	26	27	102	-1	1	0	0	0	0
141.78	5	27	28	146	1	0	0	1	0	0
148.11	5	28	29	107	-1	1	0	0	0	0
155.78	5	29	31	150	-1	0	0	1	0	0
159.6	5	30	32	124	1	0	1	0	0	0
169.34	5	31	33	144	1	0	0	1	0	0
177.87	5	32	34	145	1	0	0	1	0	0
184.2	5	33	35	130	1	0	1	0	0	0
189.04	5	34	36	143	-1	0	0	1	0	0
198.55	5	35	37	147	1	0	0	1	0	0
202.38	5	36	38	109	-1	1	0	0	0	0
206.71	5	37	39	125	1	0	1	0	0	0
214.63	5	38	40	122	1	0	1	0	0	0
218.96	5	39	41	161	0	0	0	0	1	0
222.79	5	40	42	169	0	0	0	0	1	0
228.12	5	41	43	168	0	0	0	0	1	0
232.44	5	42	44	165	0	0	0	0	1	0
236.27	5	43	45	61	0	0	0	0	0	1
241.67	5	44	46	61	0	0	0	0	0	1
245.99	5	45	47	61	0	0	0	0	0	1
252.37	5	46	48	61	0	0	0	0	0	1
256.67	5	47	49	61	0	0	0	0	0	1
294.49	5	48	50	170	0	0	0	0	1	0
298.32	5	49	51	162	0	0	0	0	1	0
303.65	5	50	52	166	0	0	0	0	1	0
307.97	5	51	53	163	0	0	0	0	1	0
311.8	5	52	54	110	-1	1	0	0	0	0
316.13	5	53	55	129	1	0	1	0	0	0
319.96	5	54	56	123	-1	0	1	0	0	0
324.29	5	55	57	102	-1	1	0	0	0	0
330.11	5	56	58	147	1	0	0	1	0	0
336.45	5	57	59	145	1	0	0	1	0	0
345.56	5	58	60	127	-1	0	1	0	0	0
349.38	5	59	61	129	1	0	1	0	0	0
357.71	5	60	62	105	1	1	0	0	0	0
361.04	5	61	63	121	1	0	1	0	0	0
368.97	5	62	64	145	1	0	0	1	0	0
372.29	5	63	65	141	-1	0	0	1	0	0
376.13	5	64	66	122	1	0	1	0	0	0
380.46	5	65	67	142	1	0	0	1	0	0
386.78	5	66	68	124	1	0	1	0	0	0
391.12	5	67	69	144	1	0	0	1	0	0
395.94	5	68	70	101	-1	1	0	0	0	0
402.27	5	69	71	146	1	0	0	1	0	0
409.85	5	70	72	107	-1	1	0	0	0	0
418.07	5	71	73	109	-1	1	0	0	0	0
430.01	5	72	75	124	1	0	1	0	0	0
433.34	5	73	76	150	-1	0	0	1	0	0
441.5	5	74	78	108	1	1	0	0	0	0
445.83	5	75	79	130	1	0	1	0	0	0
449.65	5	76	80	148	-1	0	0	1	0	0
453.98	5	77	81	106	1	1	0	0	0	0
458.81	5	78	82	103	-1	1	0	0	0	0
466.58	5	79	83	143	-1	0	0	1	0	0
469.91	5	80	84	106	1	1	0	0	0	0
473.74	5	81	85	104	1	1	0	0	0	0
483.55	5	82	86	108	1	1	0	0	0	0
486.87	5	83	87	125	1	0	1	0	0	0
491.2	5	84	88	127	-1	0	1	0	0	0
495.53	5	85	89	122	1	0	1	0	0	0
499.86	5	86	90	149	-1	0	0	1	0	0
503.69	5	87	91	146	1	0	0	1	0	0
508.02	5	88	92	101	-1	1	0	0	0	0
513.34	5	89	93	147	1	0	0	1	0	0
521.07	5	90	94	167	0	0	0	0	1	0
524.91	5	91	95	164	0	0	0	0	1	0
530.24	5	92	96	161	0	0	0	0	1	0
534.56	5	93	97	162	0	0	0	0	1	0
538.38	5	94	98	61	0	0	0	0	0	1
542.78	5	95	99	61	0	0	0	0	0	1
549.15	5	96	100	61	0	0	0	0	0	1
554.55	5	97	101	61	0	0	0	0	0	1
560.96	5	98	102	61	0	0	0	0	0	1
595.85	5	99	103	167	0	0	0	0	1	0
599.68	5	100	104	168	0	0	0	0	1	0
605.01	5	101	105	165	0	0	0	0	1	0
609.33	5	102	106	170	0	0	0	0	1	0
613.16	5	103	107	106	1	1	0	0	0	0
617.49	5	104	108	107	-1	1	0	0	0	0
621.31	5	105	109	101	-1	1	0	0	0	0
631.28	5	106	110	108	1	1	0	0	0	0
641.93	5	107	112	150	-1	0	0	1	0	0
649.78	5	108	113	124	1	0	1	0	0	0
653.61	5	109	114	130	1	0	1	0	0	0
663.06	5	110	115	110	-1	1	0	0	0	0
670.8	5	111	116	141	-1	0	0	1	0	0
676.13	5	112	117	123	-1	0	1	0	0	0
682.95	5	113	118	108	1	1	0	0	0	0
686.78	5	114	119	125	1	0	1	0	0	0
691.11	5	115	120	102	-1	1	0	0	0	0
698.46	5	116	121	147	1	0	0	1	0	0
701.79	5	117	122	109	-1	1	0	0	0	0
707.12	5	118	123	148	-1	0	0	1	0	0
715.68	5	119	124	147	1	0	0	1	0	0
719.51	5	120	125	103	-1	1	0	0	0	0
723.84	5	121	126	149	-1	0	0	1	0	0
731.49	5	122	127	105	1	1	0	0	0	0
735.83	5	123	128	127	-1	0	1	0	0	0
742.15	5	124	129	145	1	0	0	1	0	0
750.31	5	125	131	129	1	0	1	0	0	0
756.14	5	126	132	122	1	0	1	0	0	0
759.98	5	127	133	121	1	0	1	0	0	0
763.31	5	128	134	101	-1	1	0	0	0	0
768.64	5	129	135	143	-1	0	0	1	0	0
772.96	5	130	136	106	1	1	0	0	0	0
777.29	5	131	137	142	1	0	0	1	0	0
781.12	5	132	138	146	1	0	0	1	0	0
784.45	5	133	139	104	1	1	0	0	0	0
789.78	5	134	140	129	1	0	1	0	0	0
793.6	5	135	141	124	1	0	1	0	0	0
797.93	5	136	142	144	1	0	0	1	0	0
802.26	5	137	143	146	1	0	0	1	0	0
806.09	5	138	144	145	1	0	0	1	0	0
811.42	5	139	145	127	-1	0	1	0	0	0
820.03	5	140	146	122	1	0	1	0	0	0
827.69	5	141	147	166	0	0	0	0	1	0
831.52	5	142	148	163	0	0	0	0	1	0
836.85	5	143	149	169	0	0	0	0	1	0
841.17	5	144	150	164	0	0	0	0	1	0
845	5	145	151	61	0	0	0	0	0	1
850.29	5	146	152	61	0	0	0	0	0	1
854.69	5	147	153	61	0	0	0	0	0	1
861.05	5	148	154	61	0	0	0	0	0	1
865.5	5	149	155	61	0	0	0	0	0	1
