onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.071859	5	1	1	128	1	0	1	0	0	0
4.4277	5	2	2	149	-1	0	0	1	0	0
8.254	5	3	3	146	1	0	0	1	0	0
12.584	5	4	4	142	1	0	0	1	0	0
30.636	5	5	5	101	1	1	0	0	0	0
34.966	5	6	6	109	-1	1	0	0	0	0
41.292	5	7	7	147	1	0	0	1	0	0
45.126	5	8	8	105	1	1	0	0	0	0
50.455	5	9	9	101	1	1	0	0	0	0
67.439	5	10	10	148	-1	0	0	1	0	0
71.771	5	11	11	130	-1	0	1	0	0	0
76.098	5	12	12	126	1	0	1	0	0	0
79.925	5	13	13	104	-1	1	0	0	0	0
85.755	5	14	14	102	1	1	0	0	0	0
89.59	5	15	15	130	-1	0	1	0	0	0
93.92	5	16	16	103	1	1	0	0	0	0
104.36	5	17	17	124	1	0	1	0	0	0
108.69	5	18	18	108	1	1	0	0	0	0
112.52	5	19	19	109	-1	1	0	0	0	0
123.18	5	20	21	145	1	0	0	1	0	0
126.51	5	21	22	129	-1	0	1	0	0	0
130.84	5	22	23	102	1	1	0	0	0	0
139.23	5	23	24	125	-1	0	1	0	0	0
143.06	5	24	25	123	1	0	1	0	0	0
147.39	5	25	26	124	1	0	1	0	0	0
151.21	5	26	27	110	-1	1	0	0	0	0
155.54	5	27	28	146	1	0	0	1	0	0
161.87	5	28	29	107	-1	1	0	0	0	0
169.54	5	29	31	150	-1	0	0	1	0	0
173.36	5	30	32	123	1	0	1	0	0	0
181.36	5	31	33	144	1	0	0	1	0	0
189.68	5	32	34	145	1	0	0	1	0	0
196.01	5	33	35	127	1	0	1	0	0	0
200.84	5	34	36	143	-1	0	0	1	0	0
213.12	5	35	37	147	1	0	0	1	0	0
221.28	5	36	39	121	1	0	1	0	0	0
230.34	5	37	40	128	1	0	1	0	0	0
234.68	5	38	41	161	0	0	0	0	1	0
238.5	5	39	42	169	0	0	0	0	1	0
243.83	5	40	43	168	0	0	0	0	1	0
248.15	5	41	44	165	0	0	0	0	1	0
251.98	5	42	45	61	0	0	0	0	0	1
257.41	5	43	46	61	0	0	0	0	0	1
261.79	5	44	47	61	0	0	0	0	0	1
268.14	5	45	48	61	0	0	0	0	0	1
272.52	5	46	49	61	0	0	0	0	0	1
310.37	5	47	50	170	0	0	0	0	1	0
314.2	5	48	51	162	0	0	0	0	1	0
319.53	5	49	52	166	0	0	0	0	1	0
323.85	5	50	53	163	0	0	0	0	1	0
327.68	5	51	54	108	1	1	0	0	0	0
332.01	5	52	55	124	1	0	1	0	0	0
335.84	5	53	56	129	-1	0	1	0	0	0
340.17	5	54	57	110	-1	1	0	0	0	0
345.99	5	55	58	147	1	0	0	1	0	0
352.33	5	56	59	145	1	0	0	1	0	0
360.66	5	57	60	130	-1	0	1	0	0	0
364.49	5	58	61	124	1	0	1	0	0	0
375.27	5	59	62	103	1	1	0	0	0	0
378.59	5	60	63	126	1	0	1	0	0	0
388.1	5	61	64	145	1	0	0	1	0	0
395.26	5	62	66	128	1	0	1	0	0	0
399.59	5	63	67	142	1	0	0	1	0	0
405.91	5	64	68	123	1	0	1	0	0	0
410.25	5	65	69	144	1	0	0	1	0	0
415.07	5	66	70	109	-1	1	0	0	0	0
421.4	5	67	71	146	1	0	0	1	0	0
428.68	5	68	72	107	-1	1	0	0	0	0
446.16	5	69	75	123	1	0	1	0	0	0
449.48	5	70	76	150	-1	0	0	1	0	0
453.82	5	71	77	125	-1	0	1	0	0	0
463.55	5	72	78	102	1	1	0	0	0	0
467.87	5	73	79	127	1	0	1	0	0	0
471.7	5	74	80	148	-1	0	0	1	0	0
476.03	5	75	81	101	1	1	0	0	0	0
480.86	5	76	82	104	-1	1	0	0	0	0
489.26	5	77	83	143	-1	0	0	1	0	0
492.59	5	78	84	101	1	1	0	0	0	0
496.42	5	79	85	105	1	1	0	0	0	0
506.06	5	80	86	102	1	1	0	0	0	0
509.38	5	81	87	121	1	0	1	0	0	0
513.72	5	82	88	130	-1	0	1	0	0	0
518.04	5	83	89	128	1	0	1	0	0	0
522.37	5	84	90	149	-1	0	0	1	0	0
526.2	5	85	91	146	1	0	0	1	0	0
530.53	5	86	92	109	-1	1	0	0	0	0
535.85	5	87	93	147	1	0	0	1	0	0
543.3	5	88	94	167	0	0	0	0	1	0
547.14	5	89	95	164	0	0	0	0	1	0
552.47	5	90	96	161	0	0	0	0	1	0
556.79	5	91	97	162	0	0	0	0	1	0
560.61	5	92	98	61	0	0	0	0	0	1
565.02	5	93	99	61	0	0	0	0	0	1
571.37	5	94	100	61	0	0	0	0	0	1
576.77	5	95	101	61	0	0	0	0	0	1
583.1	5	96	102	61	0	0	0	0	0	1
618.03	5	97	103	167	0	0	0	0	1	0
621.86	5	98	104	168	0	0	0	0	1	0
627.19	5	99	105	165	0	0	0	0	1	0
631.51	5	100	106	170	0	0	0	0	1	0
635.34	5	101	107	101	1	1	0	0	0	0
639.67	5	102	108	107	-1	1	0	0	0	0
643.49	5	103	109	109	-1	1	0	0	0	0
651.57	5	104	110	102	1	1	0	0	0	0
