onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.069743	5	1	1	122	1	0	1	0	0	0
4.4261	5	2	2	149	-1	0	0	1	0	0
8.2523	5	3	3	146	1	0	0	1	0	0
12.582	5	4	4	142	1	0	0	1	0	0
24.218	5	5	5	106	1	1	0	0	0	0
28.547	5	6	6	101	-1	1	0	0	0	0
34.874	5	7	7	147	1	0	0	1	0	0
38.707	5	8	8	104	1	1	0	0	0	0
44.037	5	9	9	106	1	1	0	0	0	0
54.903	5	10	10	148	-1	0	0	1	0	0
59.234	5	11	11	127	-1	0	1	0	0	0
63.562	5	12	12	121	1	0	1	0	0	0
67.389	5	13	13	103	-1	1	0	0	0	0
73.218	5	14	14	108	1	1	0	0	0	0
77.054	5	15	15	127	-1	0	1	0	0	0
81.384	5	16	16	105	1	1	0	0	0	0
89.535	5	17	17	129	1	0	1	0	0	0
93.868	5	18	18	110	-1	1	0	0	0	0
97.695	5	19	19	101	-1	1	0	0	0	0
102.02	5	20	20	141	-1	0	0	1	0	0
113.11	5	21	21	145	1	0	0	1	0	0
116.44	5	22	22	123	-1	0	1	0	0	0
120.77	5	23	23	108	1	1	0	0	0	0
132.53	5	24	25	124	1	0	1	0	0	0
136.86	5	25	26	129	1	0	1	0	0	0
140.68	5	26	27	102	-1	1	0	0	0	0
145.01	5	27	28	146	1	0	0	1	0	0
151.34	5	28	29	107	-1	1	0	0	0	0
159.01	5	29	31	150	-1	0	0	1	0	0
162.83	5	30	32	124	1	0	1	0	0	0
177.76	5	31	33	144	1	0	0	1	0	0
189.22	5	32	34	145	1	0	0	1	0	0
195.56	5	33	35	130	1	0	1	0	0	0
200.39	5	34	36	143	-1	0	0	1	0	0
208.99	5	35	37	147	1	0	0	1	0	0
212.82	5	36	38	109	-1	1	0	0	0	0
217.15	5	37	39	125	1	0	1	0	0	0
235.05	5	38	40	122	1	0	1	0	0	0
239.38	5	39	41	161	0	0	0	0	1	0
243.21	5	40	42	169	0	0	0	0	1	0
248.54	5	41	43	168	0	0	0	0	1	0
252.86	5	42	44	165	0	0	0	0	1	0
256.69	5	43	45	61	0	0	0	0	0	1
262.09	5	44	46	61	0	0	0	0	0	1
266.46	5	45	47	61	0	0	0	0	0	1
272.89	5	46	48	61	0	0	0	0	0	1
277.26	5	47	49	61	0	0	0	0	0	1
316.7	5	48	50	170	0	0	0	0	1	0
320.53	5	49	51	162	0	0	0	0	1	0
325.86	5	50	52	166	0	0	0	0	1	0
330.18	5	51	53	163	0	0	0	0	1	0
334.01	5	52	54	110	-1	1	0	0	0	0
338.34	5	53	55	129	1	0	1	0	0	0
