onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0171	2	1	3	3	-0.25	1	0	1	0
20.359	2	2	3	3	-0.25	1	0	0	0
31.848	2	3	3	3	-0.25	1	0	0	1
43.652	2	4	3	3	-0.25	1	0	0	0
49.465	2	5	3	3	-0.25	1	0	0	0
65.506	2	6	2	3	-0.25	-1	1	0	0
83.922	2	7	2	3	-0.25	-1	0	0	0
100.38	2	8	2	3	-0.25	-1	0	0	1
111.87	2	9	2	3	-0.25	-1	0	0	0
117.37	2	10	2	3	-0.25	-1	0	0	0
133.41	2	11	4	4	-0.375	1	0	0	1
147.57	2	12	4	4	-0.375	1	0	0	0
163.57	2	13	4	4	-0.375	1	0	1	0
174.92	2	14	4	4	-0.375	1	0	0	0
180.11	2	15	4	4	-0.375	1	0	0	0
196.15	2	16	5	1	0.5	1	0	0	1
218.52	2	17	5	1	0.5	1	0	0	0
234.54	2	18	5	1	0.5	1	0	1	0
246	2	19	5	1	0.5	1	0	0	0
251.08	2	20	5	1	0.5	1	0	0	0
267.12	2	21	1	4	-0.375	1	0	0	1
285.14	2	22	1	4	-0.375	1	0	0	0
297.09	2	23	1	4	-0.375	1	1	0	0
308.15	2	24	1	4	-0.375	1	0	0	0
314.82	2	25	1	4	-0.375	1	0	0	0
330.87	2	26	6	1	0.5	-1	0	1	0
345	2	27	6	1	0.5	-1	0	0	0
356.16	2	28	6	1	0.5	-1	0	0	1
367.72	2	29	6	1	0.5	-1	0	0	0
373.41	2	30	6	1	0.5	-1	0	0	0
389.45	2	31	2	4	-0.375	1	1	0	0
405.42	2	32	2	4	-0.375	1	0	0	0
421.45	2	33	2	4	-0.375	1	0	1	0
432.81	2	34	2	4	-0.375	1	0	0	0
438.1	2	35	2	4	-0.375	1	0	0	0
454.15	2	36	3	4	-0.375	-1	0	1	0
468.65	2	37	3	4	-0.375	-1	0	0	0
479.56	2	38	3	4	-0.375	-1	1	0	0
490.8	2	39	3	4	-0.375	-1	0	0	0
496.63	2	40	3	4	-0.375	-1	0	0	0
512.67	2	41	5	2	0	-1	0	0	1
543.7	2	42	5	2	0	-1	0	0	0
559.86	2	43	5	2	0	-1	1	0	0
570.89	2	44	5	2	0	-1	0	0	0
576.52	2	45	5	2	0	-1	0	0	0
592.56	2	46	6	2	0	-1	0	1	0
610.46	2	47	6	2	0	-1	0	0	0
621.4	2	48	6	2	0	-1	0	0	1
632.3	2	49	6	2	0	-1	0	0	0
637.89	2	50	6	2	0	-1	0	0	0
