onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0281	3	1	7	1	0.5	1	0	0	1
18.912	3	2	7	1	0.5	1	0	0	0
33.634	3	3	7	1	0.5	1	0	1	0
44.874	3	4	7	1	0.5	1	0	0	0
50.555	3	5	7	1	0.5	1	0	0	0
65.584	3	6	8	1	0.5	-1	0	1	0
82.276	3	7	8	1	0.5	-1	0	0	0
92.738	3	8	8	1	0.5	-1	0	0	1
103.96	3	9	8	1	0.5	-1	0	0	0
109.49	3	10	8	1	0.5	-1	0	0	0
124.52	3	11	6	3	-0.25	1	0	0	1
136.87	3	12	6	3	-0.25	1	0	0	0
147.2	3	13	6	3	-0.25	1	0	1	0
158.62	3	14	6	3	-0.25	1	0	0	0
164.27	3	15	6	3	-0.25	1	0	0	0
179.3	3	16	5	3	-0.25	1	1	0	0
195.83	3	17	5	3	-0.25	1	0	0	0
210.28	3	18	5	3	-0.25	1	0	0	1
221.42	3	19	5	3	-0.25	1	0	0	0
226.94	3	20	5	3	-0.25	1	0	0	0
241.97	3	21	8	2	0	1	0	1	0
258.18	3	22	8	2	0	1	0	0	0
268.21	3	23	8	2	0	1	1	0	0
279.62	3	24	8	2	0	1	0	0	0
284.87	3	25	8	2	0	1	0	0	0
299.89	3	26	7	2	0	1	0	0	1
316.65	3	27	7	2	0	1	0	0	0
331.08	3	28	7	2	0	1	0	1	0
342.42	3	29	7	2	0	1	0	0	0
348.93	3	30	7	2	0	1	0	0	0
363.96	3	31	8	3	-0.25	1	0	1	0
380.27	3	32	8	3	-0.25	1	0	0	0
390.66	3	33	8	3	-0.25	1	1	0	0
402.02	3	34	8	3	-0.25	1	0	0	0
407.43	3	35	8	3	-0.25	1	0	0	0
422.46	3	36	7	3	-0.25	1	0	0	1
439.01	3	37	7	3	-0.25	1	0	0	0
453.33	3	38	7	3	-0.25	1	0	1	0
464.89	3	39	7	3	-0.25	1	0	0	0
471.2	3	40	7	3	-0.25	1	0	0	0
486.23	3	41	5	4	-0.375	1	1	0	0
502.54	3	42	5	4	-0.375	1	0	0	0
517.33	3	43	5	4	-0.375	1	0	0	1
528.77	3	44	5	4	-0.375	1	0	0	0
534.84	3	45	5	4	-0.375	1	0	0	0
549.87	3	46	6	4	-0.375	1	0	0	1
562.26	3	47	6	4	-0.375	1	0	0	0
572.9	3	48	6	4	-0.375	1	0	1	0
584.21	3	49	6	4	-0.375	1	0	0	0
589.54	3	50	6	4	-0.375	1	0	0	0
