onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0221	3	1	7	1	0.5	1	0	0	1
23.481	3	2	7	1	0.5	1	0	0	0
41.27	3	3	7	1	0.5	1	0	1	0
53.705	3	4	7	1	0.5	1	0	0	0
59.882	3	5	7	1	0.5	1	0	0	0
74.917	3	6	8	1	0.5	-1	0	1	0
94.174	3	7	8	1	0.5	-1	0	0	0
106.94	3	8	8	1	0.5	-1	0	0	1
119.04	3	9	8	1	0.5	-1	0	0	0
125.5	3	10	8	1	0.5	-1	0	0	0
140.54	3	11	6	3	-0.25	1	0	0	1
155.37	3	12	6	3	-0.25	1	0	0	0
168.4	3	13	6	3	-0.25	1	0	1	0
180.15	3	14	6	3	-0.25	1	0	0	0
186	3	15	6	3	-0.25	1	0	0	0
201.03	3	16	5	3	-0.25	1	1	0	0
223.32	3	17	5	3	-0.25	1	0	0	0
240.17	3	18	5	3	-0.25	1	0	0	1
252.12	3	19	5	3	-0.25	1	0	0	0
258.3	3	20	5	3	-0.25	1	0	0	0
273.33	3	21	8	2	0	1	0	1	0
293.59	3	22	8	2	0	1	0	0	0
308.66	3	23	8	2	0	1	1	0	0
321.94	3	24	8	2	0	1	0	0	0
328.25	3	25	8	2	0	1	0	0	0
343.28	3	26	7	2	0	1	0	0	1
363.37	3	27	7	2	0	1	0	0	0
380.31	3	28	7	2	0	1	0	1	0
393.23	3	29	7	2	0	1	0	0	0
399.75	3	30	7	2	0	1	0	0	0
414.79	3	31	8	3	-0.25	1	0	1	0
430.89	3	32	8	3	-0.25	1	0	0	0
444.11	3	33	8	3	-0.25	1	1	0	0
455.93	3	34	8	3	-0.25	1	0	0	0
461.81	3	35	8	3	-0.25	1	0	0	0
476.84	3	36	7	3	-0.25	1	0	0	1
492.3	3	37	7	3	-0.25	1	0	0	0
504.22	3	38	7	3	-0.25	1	0	1	0
516.69	3	39	7	3	-0.25	1	0	0	0
523.12	3	40	7	3	-0.25	1	0	0	0
538.15	3	41	5	4	-0.375	1	1	0	0
552.52	3	42	5	4	-0.375	1	0	0	0
570.37	3	43	5	4	-0.375	1	0	0	1
582.71	3	44	5	4	-0.375	1	0	0	0
588.54	3	45	5	4	-0.375	1	0	0	0
603.57	3	46	6	4	-0.375	1	0	0	1
618.22	3	47	6	4	-0.375	1	0	0	0
630.4	3	48	6	4	-0.375	1	0	1	0
642.44	3	49	6	4	-0.375	1	0	0	0
648.7	3	50	6	4	-0.375	1	0	0	0
