onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0267	3	1	7	1	0.5	1	1	0	0
20.485	3	2	7	1	0.5	1	0	0	0
37.23	3	3	7	1	0.5	1	0	0	1
48.553	3	4	7	1	0.5	1	0	0	0
54.366	3	5	7	1	0.5	1	0	0	0
70.408	3	6	8	1	0.5	-1	0	1	0
89.537	3	7	8	1	0.5	-1	0	0	0
102.29	3	8	8	1	0.5	-1	0	0	1
113.82	3	9	8	1	0.5	-1	0	0	0
119.84	3	10	8	1	0.5	-1	0	0	0
135.88	3	11	6	3	-0.25	1	0	1	0
151.06	3	12	6	3	-0.25	1	0	0	0
163.28	3	13	6	3	-0.25	1	1	0	0
174.82	3	14	6	3	-0.25	1	0	0	0
180.25	3	15	6	3	-0.25	1	0	0	0
196.28	3	16	5	3	-0.25	1	0	0	1
215.09	3	17	5	3	-0.25	1	0	0	0
232.46	3	18	5	3	-0.25	1	0	1	0
243.94	3	19	5	3	-0.25	1	0	0	0
249.5	3	20	5	3	-0.25	1	0	0	0
265.56	3	21	8	2	0	1	0	1	0
284.32	3	22	8	2	0	1	0	0	0
296.36	3	23	8	2	0	1	1	0	0
307.82	3	24	8	2	0	1	0	0	0
313.08	3	25	8	2	0	1	0	0	0
329.11	3	26	7	2	0	1	1	0	0
347.8	3	27	7	2	0	1	0	0	0
364.03	3	28	7	2	0	1	0	0	1
375.18	3	29	7	2	0	1	0	0	0
380.81	3	30	7	2	0	1	0	0	0
396.85	3	31	8	3	-0.25	1	0	1	0
415.56	3	32	8	3	-0.25	1	0	0	0
427.86	3	33	8	3	-0.25	1	1	0	0
439.02	3	34	8	3	-0.25	1	0	0	0
444.42	3	35	8	3	-0.25	1	0	0	0
460.46	3	36	7	3	-0.25	1	1	0	0
479.54	3	37	7	3	-0.25	1	0	0	0
496.2	3	38	7	3	-0.25	1	0	0	1
507.46	3	39	7	3	-0.25	1	0	0	0
513.44	3	40	7	3	-0.25	1	0	0	0
529.46	3	41	5	4	-0.375	1	0	0	1
548.26	3	42	5	4	-0.375	1	0	0	0
565.2	3	43	5	4	-0.375	1	0	1	0
576.86	3	44	5	4	-0.375	1	0	0	0
582.21	3	45	5	4	-0.375	1	0	0	0
598.23	3	46	6	4	-0.375	1	0	1	0
613.07	3	47	6	4	-0.375	1	0	0	0
625.5	3	48	6	4	-0.375	1	1	0	0
636.63	3	49	6	4	-0.375	1	0	0	0
642.11	3	50	6	4	-0.375	1	0	0	0
