onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.071856	5	1	1	128	1	0	1	0	0	0
4.4252	5	2	2	149	-1	0	0	1	0	0
8.2516	5	3	3	146	1	0	0	1	0	0
12.581	5	4	4	142	1	0	0	1	0	0
25.278	5	5	5	101	1	1	0	0	0	0
29.608	5	6	6	109	-1	1	0	0	0	0
35.935	5	7	7	147	1	0	0	1	0	0
39.768	5	8	8	105	1	1	0	0	0	0
45.098	5	9	9	101	1	1	0	0	0	0
55.466	5	10	10	148	-1	0	0	1	0	0
59.798	5	11	11	130	-1	0	1	0	0	0
64.127	5	12	12	126	1	0	1	0	0	0
67.953	5	13	13	104	-1	1	0	0	0	0
73.782	5	14	14	102	1	1	0	0	0	0
77.601	5	15	15	130	-1	0	1	0	0	0
81.931	5	16	16	103	1	1	0	0	0	0
89.933	5	17	17	124	1	0	1	0	0	0
94.265	5	18	18	108	1	1	0	0	0	0
98.092	5	19	19	109	-1	1	0	0	0	0
108.75	5	20	21	145	1	0	0	1	0	0
112.08	5	21	22	129	-1	0	1	0	0	0
116.41	5	22	23	102	1	1	0	0	0	0
129.63	5	23	25	123	1	0	1	0	0	0
133.98	5	24	26	124	1	0	1	0	0	0
137.8	5	25	27	110	-1	1	0	0	0	0
142.13	5	26	28	146	1	0	0	1	0	0
148.46	5	27	29	107	-1	1	0	0	0	0
156.12	5	28	31	150	-1	0	0	1	0	0
159.95	5	29	32	123	1	0	1	0	0	0
170.86	5	30	33	144	1	0	0	1	0	0
179.24	5	31	34	145	1	0	0	1	0	0
185.58	5	32	35	127	1	0	1	0	0	0
190.41	5	33	36	143	-1	0	0	1	0	0
200.09	5	34	37	147	1	0	0	1	0	0
208.24	5	35	39	121	1	0	1	0	0	0
220.34	5	36	40	128	1	0	1	0	0	0
224.67	5	37	41	161	0	0	0	0	1	0
228.5	5	38	42	169	0	0	0	0	1	0
233.83	5	39	43	168	0	0	0	0	1	0
238.15	5	40	44	165	0	0	0	0	1	0
241.98	5	41	45	61	0	0	0	0	0	1
246.69	5	42	46	61	0	0	0	0	0	1
250.4	5	43	47	61	0	0	0	0	0	1
256.11	5	44	48	61	0	0	0	0	0	1
259.82	5	45	49	61	0	0	0	0	0	1
297.09	5	46	50	170	0	0	0	0	1	0
300.92	5	47	51	162	0	0	0	0	1	0
306.25	5	48	52	166	0	0	0	0	1	0
310.57	5	49	53	163	0	0	0	0	1	0
314.4	5	50	54	108	1	1	0	0	0	0
318.73	5	51	55	124	1	0	1	0	0	0
322.55	5	52	56	129	-1	0	1	0	0	0
326.88	5	53	57	110	-1	1	0	0	0	0
332.71	5	54	58	147	1	0	0	1	0	0
339.03	5	55	59	145	1	0	0	1	0	0
348.52	5	56	60	130	-1	0	1	0	0	0
352.35	5	57	61	124	1	0	1	0	0	0
361.04	5	58	62	103	1	1	0	0	0	0
364.36	5	59	63	126	1	0	1	0	0	0
374.71	5	60	64	145	1	0	0	1	0	0
381.87	5	61	66	128	1	0	1	0	0	0
386.2	5	62	67	142	1	0	0	1	0	0
392.53	5	63	68	123	1	0	1	0	0	0
396.86	5	64	69	144	1	0	0	1	0	0
401.69	5	65	70	109	-1	1	0	0	0	0
408.01	5	66	71	146	1	0	0	1	0	0
415.66	5	67	72	107	-1	1	0	0	0	0
437.38	5	68	75	123	1	0	1	0	0	0
440.71	5	69	76	150	-1	0	0	1	0	0
448.87	5	70	78	102	1	1	0	0	0	0
453.2	5	71	79	127	1	0	1	0	0	0
457.02	5	72	80	148	-1	0	0	1	0	0
461.35	5	73	81	101	1	1	0	0	0	0
466.18	5	74	82	104	-1	1	0	0	0	0
475.21	5	75	83	143	-1	0	0	1	0	0
478.54	5	76	84	101	1	1	0	0	0	0
482.37	5	77	85	105	1	1	0	0	0	0
493.22	5	78	86	102	1	1	0	0	0	0
496.55	5	79	87	121	1	0	1	0	0	0
500.88	5	80	88	130	-1	0	1	0	0	0
505.21	5	81	89	128	1	0	1	0	0	0
509.53	5	82	90	149	-1	0	0	1	0	0
513.36	5	83	91	146	1	0	0	1	0	0
517.69	5	84	92	109	-1	1	0	0	0	0
523.02	5	85	93	147	1	0	0	1	0	0
532.44	5	86	94	167	0	0	0	0	1	0
536.27	5	87	95	164	0	0	0	0	1	0
541.6	5	88	96	161	0	0	0	0	1	0
545.92	5	89	97	162	0	0	0	0	1	0
549.75	5	90	98	61	0	0	0	0	0	1
553.46	5	91	99	61	0	0	0	0	0	1
559.17	5	92	100	61	0	0	0	0	0	1
563.88	5	93	101	61	0	0	0	0	0	1
569.59	5	94	102	61	0	0	0	0	0	1
605.19	5	95	103	167	0	0	0	0	1	0
609.02	5	96	104	168	0	0	0	0	1	0
614.35	5	97	105	165	0	0	0	0	1	0
618.67	5	98	106	170	0	0	0	0	1	0
622.5	5	99	107	101	1	1	0	0	0	0
626.83	5	100	108	107	-1	1	0	0	0	0
630.66	5	101	109	109	-1	1	0	0	0	0
639.61	5	102	110	102	1	1	0	0	0	0
650.26	5	103	112	150	-1	0	0	1	0	0
660.96	5	104	113	123	1	0	1	0	0	0
664.79	5	105	114	127	1	0	1	0	0	0
674.06	5	106	115	108	1	1	0	0	0	0
687.1	5	107	117	129	-1	0	1	0	0	0
693.45	5	108	118	102	1	1	0	0	0	0
697.28	5	109	119	121	1	0	1	0	0	0
701.61	5	110	120	110	-1	1	0	0	0	0
709.52	5	111	121	147	1	0	0	1	0	0
718.18	5	112	123	148	-1	0	0	1	0	0
725.75	5	113	124	147	1	0	0	1	0	0
729.58	5	114	125	104	-1	1	0	0	0	0
733.91	5	115	126	149	-1	0	0	1	0	0
742.34	5	116	127	103	1	1	0	0	0	0
746.68	5	117	128	130	-1	0	1	0	0	0
753	5	118	129	145	1	0	0	1	0	0
761.16	5	119	131	124	1	0	1	0	0	0
766.99	5	120	132	128	1	0	1	0	0	0
770.81	5	121	133	126	1	0	1	0	0	0
774.14	5	122	134	109	-1	1	0	0	0	0
779.47	5	123	135	143	-1	0	0	1	0	0
783.8	5	124	136	101	1	1	0	0	0	0
788.12	5	125	137	142	1	0	0	1	0	0
791.95	5	126	138	146	1	0	0	1	0	0
795.28	5	127	139	105	1	1	0	0	0	0
800.61	5	128	140	124	1	0	1	0	0	0
804.43	5	129	141	123	1	0	1	0	0	0
808.76	5	130	142	144	1	0	0	1	0	0
813.09	5	131	143	146	1	0	0	1	0	0
816.92	5	132	144	145	1	0	0	1	0	0
822.25	5	133	145	130	-1	0	1	0	0	0
831.14	5	134	146	128	1	0	1	0	0	0
838.45	5	135	147	166	0	0	0	0	1	0
842.28	5	136	148	163	0	0	0	0	1	0
847.61	5	137	149	169	0	0	0	0	1	0
851.93	5	138	150	164	0	0	0	0	1	0
855.76	5	139	151	61	0	0	0	0	0	1
860.47	5	140	152	61	0	0	0	0	0	1
864.18	5	141	153	61	0	0	0	0	0	1
869.89	5	142	154	61	0	0	0	0	0	1
873.6	5	143	155	61	0	0	0	0	0	1
