onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0295	3	1	7	1	0.5	1	0	0	1
19.991	3	2	7	1	0.5	1	0	0	0
37.614	3	3	7	1	0.5	1	1	0	0
52.867	3	4	7	1	0.5	1	0	0	0
59.243	3	5	7	1	0.5	1	0	0	0
75.284	3	6	8	1	0.5	-1	0	1	0
93.452	3	7	8	1	0.5	-1	0	0	0
106.37	3	8	8	1	0.5	-1	1	0	0
119.51	3	9	8	1	0.5	-1	0	0	0
125.56	3	10	8	1	0.5	-1	0	0	0
141.6	3	11	6	3	-0.25	-1	0	1	0
157.63	3	12	6	3	-0.25	-1	0	0	0
169.22	3	13	6	3	-0.25	-1	0	0	1
180.28	3	14	6	3	-0.25	-1	0	0	0
186.27	3	15	6	3	-0.25	-1	0	0	0
202.31	3	16	5	3	-0.25	1	1	0	0
220.73	3	17	5	3	-0.25	1	0	0	0
238.24	3	18	5	3	-0.25	1	0	1	0
249.94	3	19	5	3	-0.25	1	0	0	0
255.99	3	20	5	3	-0.25	1	0	0	0
272.03	3	21	8	2	0	1	0	1	0
293.05	3	22	8	2	0	1	0	0	0
305.85	3	23	8	2	0	1	0	0	1
318.1	3	24	8	2	0	1	0	0	0
324.06	3	25	8	2	0	1	0	0	0
340.1	3	26	7	2	0	1	0	0	1
359.48	3	27	7	2	0	1	0	0	0
376.29	3	28	7	2	0	1	1	0	0
388.79	3	29	7	2	0	1	0	0	0
394.52	3	30	7	2	0	1	0	0	0
410.56	3	31	8	3	-0.25	1	0	1	0
430.62	3	32	8	3	-0.25	1	0	0	0
443.72	3	33	8	3	-0.25	1	0	0	1
455.34	3	34	8	3	-0.25	1	0	0	0
461.18	3	35	8	3	-0.25	1	0	0	0
477.21	3	36	7	3	-0.25	1	0	0	1
496.57	3	37	7	3	-0.25	1	0	0	0
513.4	3	38	7	3	-0.25	1	1	0	0
524.92	3	39	7	3	-0.25	1	0	0	0
530.98	3	40	7	3	-0.25	1	0	0	0
547.02	3	41	5	4	-0.375	1	1	0	0
565.85	3	42	5	4	-0.375	1	0	0	0
582.28	3	43	5	4	-0.375	1	0	1	0
593.82	3	44	5	4	-0.375	1	0	0	0
599.85	3	45	5	4	-0.375	1	0	0	0
615.89	3	46	6	4	-0.375	1	0	1	0
633.51	3	47	6	4	-0.375	1	0	0	0
645.37	3	48	6	4	-0.375	1	1	0	0
656.67	3	49	6	4	-0.375	1	0	0	0
662.06	3	50	6	4	-0.375	1	0	0	0
