onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.07444	5	1	1	130	1	0	1	0	0	0
4.4356	5	2	2	149	-1	0	0	1	0	0
8.2593	5	3	3	146	1	0	0	1	0	0
12.589	5	4	4	142	1	0	0	1	0	0
21.937	5	5	5	102	1	1	0	0	0	0
26.267	5	6	6	110	-1	1	0	0	0	0
32.594	5	7	7	147	1	0	0	1	0	0
36.427	5	8	8	106	1	1	0	0	0	0
41.757	5	9	9	102	1	1	0	0	0	0
50.616	5	10	10	148	-1	0	0	1	0	0
54.948	5	11	11	122	-1	0	1	0	0	0
59.275	5	12	12	128	1	0	1	0	0	0
63.103	5	13	13	105	-1	1	0	0	0	0
68.933	5	14	14	103	1	1	0	0	0	0
72.768	5	15	15	122	-1	0	1	0	0	0
77.098	5	16	16	104	1	1	0	0	0	0
83.973	5	17	17	126	1	0	1	0	0	0
88.305	5	18	18	109	1	1	0	0	0	0
92.132	5	19	19	110	-1	1	0	0	0	0
102.79	5	20	21	145	1	0	0	1	0	0
106.12	5	21	22	121	-1	0	1	0	0	0
110.45	5	22	23	103	1	1	0	0	0	0
124.66	5	23	25	125	1	0	1	0	0	0
128.99	5	24	26	126	1	0	1	0	0	0
132.82	5	25	27	101	-1	1	0	0	0	0
137.15	5	26	28	146	1	0	0	1	0	0
143.47	5	27	29	108	-1	1	0	0	0	0
151.14	5	28	31	150	-1	0	0	1	0	0
154.97	5	29	32	125	1	0	1	0	0	0
164.52	5	30	33	144	1	0	0	1	0	0
172.09	5	31	34	145	1	0	0	1	0	0
178.42	5	32	35	129	1	0	1	0	0	0
183.26	5	33	36	143	-1	0	0	1	0	0
191.34	5	34	37	147	1	0	0	1	0	0
195.17	5	35	38	107	-1	1	0	0	0	0
199.5	5	36	39	123	1	0	1	0	0	0
206.06	5	37	40	130	1	0	1	0	0	0
210.39	5	38	41	161	0	0	0	0	1	0
214.22	5	39	42	169	0	0	0	0	1	0
219.55	5	40	43	168	0	0	0	0	1	0
223.87	5	41	44	165	0	0	0	0	1	0
227.7	5	42	45	61	0	0	0	0	0	1
233.01	5	43	46	61	0	0	0	0	0	1
237.31	5	44	47	61	0	0	0	0	0	1
243.67	5	45	48	61	0	0	0	0	0	1
248.02	5	46	49	61	0	0	0	0	0	1
286.36	5	47	50	170	0	0	0	0	1	0
290.19	5	48	51	162	0	0	0	0	1	0
295.51	5	49	52	166	0	0	0	0	1	0
299.84	5	50	53	163	0	0	0	0	1	0
303.66	5	51	54	109	1	1	0	0	0	0
307.99	5	52	55	126	1	0	1	0	0	0
311.82	5	53	56	121	-1	0	1	0	0	0
316.15	5	54	57	101	-1	1	0	0	0	0
321.98	5	55	58	147	1	0	0	1	0	0
328.31	5	56	59	145	1	0	0	1	0	0
335.85	5	57	60	122	-1	0	1	0	0	0
339.67	5	58	61	126	1	0	1	0	0	0
348.4	5	59	62	104	1	1	0	0	0	0
351.72	5	60	63	128	1	0	1	0	0	0
361.58	5	61	64	145	1	0	0	1	0	0
368.74	5	62	66	130	1	0	1	0	0	0
373.07	5	63	67	142	1	0	0	1	0	0
379.39	5	64	68	125	1	0	1	0	0	0
