onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0319	3	1	7	1	0.5	1	0	0	1
19.877	3	2	7	1	0.5	1	0	0	0
36.555	3	3	7	1	0.5	1	1	0	0
48.027	3	4	7	1	0.5	1	0	0	0
54.222	3	5	7	1	0.5	1	0	0	0
70.262	3	6	8	1	0.5	-1	0	1	0
92.972	3	7	8	1	0.5	-1	0	0	0
105.57	3	8	8	1	0.5	-1	1	0	0
116.75	3	9	8	1	0.5	-1	0	0	0
123.26	3	10	8	1	0.5	-1	0	0	0
139.3	3	11	6	3	-0.25	-1	0	1	0
153.14	3	12	6	3	-0.25	-1	0	0	0
164.82	3	13	6	3	-0.25	-1	0	0	1
176.7	3	14	6	3	-0.25	-1	0	0	0
182.96	3	15	6	3	-0.25	-1	0	0	0
199	3	16	5	3	-0.25	1	1	0	0
217.5	3	17	5	3	-0.25	1	0	0	0
235.98	3	18	5	3	-0.25	1	0	1	0
247.32	3	19	5	3	-0.25	1	0	0	0
253.63	3	20	5	3	-0.25	1	0	0	0
269.67	3	21	8	2	0	1	0	1	0
288.05	3	22	8	2	0	1	0	0	0
300.31	3	23	8	2	0	1	0	0	1
312.06	3	24	8	2	0	1	0	0	0
317.89	3	25	8	2	0	1	0	0	0
333.93	3	26	7	2	0	1	0	0	1
353.23	3	27	7	2	0	1	0	0	0
370.39	3	28	7	2	0	1	1	0	0
381.34	3	29	7	2	0	1	0	0	0
387.42	3	30	7	2	0	1	0	0	0
403.46	3	31	8	3	-0.25	1	0	1	0
422.44	3	32	8	3	-0.25	1	0	0	0
436.12	3	33	8	3	-0.25	1	0	0	1
447.24	3	34	8	3	-0.25	1	0	0	0
452.92	3	35	8	3	-0.25	1	0	0	0
468.96	3	36	7	3	-0.25	1	0	0	1
488.58	3	37	7	3	-0.25	1	0	0	0
505.09	3	38	7	3	-0.25	1	1	0	0
516.29	3	39	7	3	-0.25	1	0	0	0
522.59	3	40	7	3	-0.25	1	0	0	0
538.63	3	41	5	4	-0.375	-1	1	0	0
558.84	3	42	5	4	-0.375	-1	0	0	0
575.38	3	43	5	4	-0.375	-1	0	0	1
587.67	3	44	5	4	-0.375	-1	0	0	0
594.04	3	45	5	4	-0.375	-1	0	0	0
610.08	3	46	6	4	-0.375	-1	0	1	0
625.5	3	47	6	4	-0.375	-1	0	0	0
637.83	3	48	6	4	-0.375	-1	0	0	1
649.32	3	49	6	4	-0.375	-1	0	0	0
655.25	3	50	6	4	-0.375	-1	0	0	0
