onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0217	3	1	7	1	0.5	1	1	0	0
20.397	3	2	7	1	0.5	1	0	0	0
36.877	3	3	7	1	0.5	1	0	0	1
48.499	3	4	7	1	0.5	1	0	0	0
53.963	3	5	7	1	0.5	1	0	0	0
70.005	3	6	8	1	0.5	-1	0	1	0
89.482	3	7	8	1	0.5	-1	0	0	0
100.92	3	8	8	1	0.5	-1	0	0	1
112.61	3	9	8	1	0.5	-1	0	0	0
118.07	3	10	8	1	0.5	-1	0	0	0
134.12	3	11	6	3	-0.25	1	0	1	0
148.07	3	12	6	3	-0.25	1	0	0	0
161.12	3	13	6	3	-0.25	1	1	0	0
172.36	3	14	6	3	-0.25	1	0	0	0
178.42	3	15	6	3	-0.25	1	0	0	0
194.46	3	16	5	3	-0.25	1	0	0	1
213.68	3	17	5	3	-0.25	1	0	0	0
230.15	3	18	5	3	-0.25	1	0	1	0
241.11	3	19	5	3	-0.25	1	0	0	0
247.26	3	20	5	3	-0.25	1	0	0	0
263.3	3	21	8	2	0	1	0	1	0
281.62	3	22	8	2	0	1	0	0	0
293.25	3	23	8	2	0	1	1	0	0
304.54	3	24	8	2	0	1	0	0	0
310.03	3	25	8	2	0	1	0	0	0
326.07	3	26	7	2	0	1	1	0	0
344.3	3	27	7	2	0	1	0	0	0
361	3	28	7	2	0	1	0	0	1
372.6	3	29	7	2	0	1	0	0	0
378.83	3	30	7	2	0	1	0	0	0
394.87	3	31	8	3	-0.25	1	0	1	0
413.24	3	32	8	3	-0.25	1	0	0	0
426.7	3	33	8	3	-0.25	1	1	0	0
437.79	3	34	8	3	-0.25	1	0	0	0
443.39	3	35	8	3	-0.25	1	0	0	0
459.43	3	36	7	3	-0.25	1	1	0	0
477.36	3	37	7	3	-0.25	1	0	0	0
495.48	3	38	7	3	-0.25	1	0	0	1
506.79	3	39	7	3	-0.25	1	0	0	0
513.17	3	40	7	3	-0.25	1	0	0	0
529.19	3	41	5	4	-0.375	1	0	0	1
547.58	3	42	5	4	-0.375	1	0	0	0
564.52	3	43	5	4	-0.375	1	0	1	0
575.73	3	44	5	4	-0.375	1	0	0	0
581.11	3	45	5	4	-0.375	1	0	0	0
597.13	3	46	6	4	-0.375	1	0	1	0
611.02	3	47	6	4	-0.375	1	0	0	0
622.61	3	48	6	4	-0.375	1	1	0	0
633.49	3	49	6	4	-0.375	1	0	0	0
638.74	3	50	6	4	-0.375	1	0	0	0
