onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0217	3	1	7	1	0.5	1	0	0	1
15.705	3	2	7	1	0.5	1	0	0	0
29.3	3	3	7	1	0.5	1	1	0	0
41.767	3	4	7	1	0.5	1	0	0	0
48.774	3	5	7	1	0.5	1	0	0	0
64.814	3	6	8	1	0.5	-1	0	1	0
78.987	3	7	8	1	0.5	-1	0	0	0
93.758	3	8	8	1	0.5	-1	1	0	0
108.41	3	9	8	1	0.5	-1	0	0	0
114.81	3	10	8	1	0.5	-1	0	0	0
130.85	3	11	6	3	-0.25	1	0	1	0
147.36	3	12	6	3	-0.25	1	0	0	0
161.27	3	13	6	3	-0.25	1	1	0	0
173.19	3	14	6	3	-0.25	1	0	0	0
179.38	3	15	6	3	-0.25	1	0	0	0
195.42	3	16	5	3	-0.25	1	1	0	0
216.28	3	17	5	3	-0.25	1	0	0	0
231.2	3	18	5	3	-0.25	1	0	1	0
249	3	19	5	3	-0.25	1	0	0	0
255.35	3	20	5	3	-0.25	1	0	0	0
271.39	3	21	8	2	0	1	0	1	0
289.07	3	22	8	2	0	1	0	0	0
304.09	3	23	8	2	0	1	0	0	1
316.98	3	24	8	2	0	1	0	0	0
323.44	3	25	8	2	0	1	0	0	0
339.48	3	26	7	2	0	1	0	0	1
355.46	3	27	7	2	0	1	0	0	0
377.65	3	28	7	2	0	1	1	0	0
389.64	3	29	7	2	0	1	0	0	0
396.3	3	30	7	2	0	1	0	0	0
412.34	3	31	8	3	-0.25	1	0	1	0
433.18	3	32	8	3	-0.25	1	0	0	0
448.33	3	33	8	3	-0.25	1	0	0	1
466.12	3	34	8	3	-0.25	1	0	0	0
472.94	3	35	8	3	-0.25	1	0	0	0
488.98	3	36	7	3	-0.25	1	0	0	1
514.35	3	37	7	3	-0.25	1	0	0	0
547.92	3	38	7	3	-0.25	1	1	0	0
560.4	3	39	7	3	-0.25	1	0	0	0
566.43	3	40	7	3	-0.25	1	0	0	0
582.47	3	41	5	4	-0.375	1	1	0	0
607.37	3	42	5	4	-0.375	1	0	0	0
640.69	3	43	5	4	-0.375	1	0	1	0
652.52	3	44	5	4	-0.375	1	0	0	0
658.59	3	45	5	4	-0.375	1	0	0	0
674.63	3	46	6	4	-0.375	-1	0	1	0
691.44	3	47	6	4	-0.375	-1	0	0	0
712.08	3	48	6	4	-0.375	-1	0	0	1
725.58	3	49	6	4	-0.375	-1	0	0	0
732.12	3	50	6	4	-0.375	-1	0	0	0
