onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.078432	5	1	1	128	1	0	1	0	0	0
4.436	5	2	2	149	-1	0	0	1	0	0
8.2626	5	3	3	146	1	0	0	1	0	0
12.592	5	4	4	142	1	0	0	1	0	0
30.064	5	5	5	101	1	1	0	0	0	0
34.393	5	6	6	109	-1	1	0	0	0	0
40.721	5	7	7	147	1	0	0	1	0	0
44.554	5	8	8	105	1	1	0	0	0	0
49.884	5	9	9	101	1	1	0	0	0	0
59.014	5	10	10	148	-1	0	0	1	0	0
63.341	5	11	11	130	-1	0	1	0	0	0
67.668	5	12	12	126	1	0	1	0	0	0
71.495	5	13	13	104	-1	1	0	0	0	0
77.324	5	14	14	102	1	1	0	0	0	0
81.16	5	15	15	130	-1	0	1	0	0	0
85.49	5	16	16	103	1	1	0	0	0	0
92.846	5	17	17	124	1	0	1	0	0	0
97.178	5	18	18	108	1	1	0	0	0	0
101.01	5	19	19	109	-1	1	0	0	0	0
111.66	5	20	21	145	1	0	0	1	0	0
115	5	21	22	129	-1	0	1	0	0	0
119.33	5	22	23	102	1	1	0	0	0	0
127.22	5	23	24	125	-1	0	1	0	0	0
131.05	5	24	25	123	1	0	1	0	0	0
135.38	5	25	26	124	1	0	1	0	0	0
139.2	5	26	27	110	-1	1	0	0	0	0
143.53	5	27	28	146	1	0	0	1	0	0
149.86	5	28	29	107	-1	1	0	0	0	0
153.19	5	29	30	122	-1	0	1	0	0	0
163.1	5	30	31	150	-1	0	0	1	0	0
166.92	5	31	32	123	1	0	1	0	0	0
176.36	5	32	33	144	1	0	0	1	0	0
185.59	5	33	34	145	1	0	0	1	0	0
191.92	5	34	35	127	1	0	1	0	0	0
196.75	5	35	36	143	-1	0	0	1	0	0
204.46	5	36	37	147	1	0	0	1	0	0
208.29	5	37	38	106	-1	1	0	0	0	0
212.62	5	38	39	121	1	0	1	0	0	0
220.77	5	39	40	128	1	0	1	0	0	0
225.1	5	40	41	161	0	0	0	0	1	0
228.93	5	41	42	169	0	0	0	0	1	0
234.26	5	42	43	168	0	0	0	0	1	0
238.6	5	43	44	165	0	0	0	0	1	0
242.42	5	44	45	61	0	0	0	0	0	1
247.76	5	45	46	61	0	0	0	0	0	1
252.15	5	46	47	61	0	0	0	0	0	1
258.53	5	47	48	61	0	0	0	0	0	1
262.86	5	48	49	61	0	0	0	0	0	1
301.69	5	49	50	170	0	0	0	0	1	0
305.52	5	50	51	162	0	0	0	0	1	0
310.85	5	51	52	166	0	0	0	0	1	0
315.19	5	52	53	163	0	0	0	0	1	0
319.02	5	53	54	108	1	1	0	0	0	0
323.35	5	54	55	124	1	0	1	0	0	0
327.18	5	55	56	129	-1	0	1	0	0	0
331.51	5	56	57	110	-1	1	0	0	0	0
337.33	5	57	58	147	1	0	0	1	0	0
343.67	5	58	59	145	1	0	0	1	0	0
351.53	5	59	60	130	-1	0	1	0	0	0
355.36	5	60	61	124	1	0	1	0	0	0
365.43	5	61	62	103	1	1	0	0	0	0
368.75	5	62	63	126	1	0	1	0	0	0
375.72	5	63	64	145	1	0	0	1	0	0
382.88	5	64	66	128	1	0	1	0	0	0
387.21	5	65	67	142	1	0	0	1	0	0
393.54	5	66	68	123	1	0	1	0	0	0
397.87	5	67	69	144	1	0	0	1	0	0
402.7	5	68	70	109	-1	1	0	0	0	0
409.02	5	69	71	146	1	0	0	1	0	0
415.92	5	70	72	107	-1	1	0	0	0	0
423.44	5	71	73	106	-1	1	0	0	0	0
430.69	5	72	74	122	-1	0	1	0	0	0
435.52	5	73	75	123	1	0	1	0	0	0
438.85	5	74	76	150	-1	0	0	1	0	0
443.18	5	75	77	125	-1	0	1	0	0	0
450.59	5	76	78	102	1	1	0	0	0	0
454.92	5	77	79	127	1	0	1	0	0	0
458.75	5	78	80	148	-1	0	0	1	0	0
463.08	5	79	81	101	1	1	0	0	0	0
467.9	5	80	82	104	-1	1	0	0	0	0
475.1	5	81	83	143	-1	0	0	1	0	0
478.42	5	82	84	101	1	1	0	0	0	0
482.26	5	83	85	105	1	1	0	0	0	0
490.95	5	84	86	102	1	1	0	0	0	0
