onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.079167	5	1	1	130	1	0	1	0	0	0
4.4378	5	2	2	149	-1	0	0	1	0	0
8.2645	5	3	3	146	1	0	0	1	0	0
12.594	5	4	4	142	1	0	0	1	0	0
28.159	5	5	5	102	1	1	0	0	0	0
32.488	5	6	6	110	-1	1	0	0	0	0
38.815	5	7	7	147	1	0	0	1	0	0
42.648	5	8	8	106	1	1	0	0	0	0
47.978	5	9	9	102	1	1	0	0	0	0
57.832	5	10	10	148	-1	0	0	1	0	0
62.164	5	11	11	122	-1	0	1	0	0	0
66.492	5	12	12	128	1	0	1	0	0	0
70.319	5	13	13	105	-1	1	0	0	0	0
76.148	5	14	14	103	1	1	0	0	0	0
79.984	5	15	15	122	-1	0	1	0	0	0
84.314	5	16	16	104	1	1	0	0	0	0
96.543	5	17	17	126	1	0	1	0	0	0
100.88	5	18	18	109	1	1	0	0	0	0
104.7	5	19	19	110	-1	1	0	0	0	0
115.36	5	20	21	145	1	0	0	1	0	0
118.69	5	21	22	121	-1	0	1	0	0	0
123.03	5	22	23	103	1	1	0	0	0	0
136.87	5	23	25	125	1	0	1	0	0	0
141.2	5	24	26	126	1	0	1	0	0	0
145.02	5	25	27	101	-1	1	0	0	0	0
149.35	5	26	28	146	1	0	0	1	0	0
155.68	5	27	29	108	-1	1	0	0	0	0
163.35	5	28	31	150	-1	0	0	1	0	0
167.17	5	29	32	125	1	0	1	0	0	0
178.68	5	30	33	144	1	0	0	1	0	0
187.98	5	31	34	145	1	0	0	1	0	0
194.31	5	32	35	129	1	0	1	0	0	0
199.14	5	33	36	143	-1	0	0	1	0	0
210.81	5	34	37	147	1	0	0	1	0	0
218.97	5	35	39	123	1	0	1	0	0	0
229.87	5	36	40	130	1	0	1	0	0	0
234.2	5	37	41	161	0	0	0	0	1	0
238.03	5	38	42	169	0	0	0	0	1	0
243.36	5	39	43	168	0	0	0	0	1	0
247.68	5	40	44	165	0	0	0	0	1	0
251.51	5	41	45	61	0	0	0	0	0	1
256.95	5	42	46	61	0	0	0	0	0	1
261.26	5	43	47	61	0	0	0	0	0	1
267.63	5	44	48	61	0	0	0	0	0	1
271.98	5	45	49	61	0	0	0	0	0	1
309.87	5	46	50	170	0	0	0	0	1	0
313.7	5	47	51	162	0	0	0	0	1	0
319.03	5	48	52	166	0	0	0	0	1	0
323.35	5	49	53	163	0	0	0	0	1	0
327.17	5	50	54	109	1	1	0	0	0	0
331.5	5	51	55	126	1	0	1	0	0	0
335.33	5	52	56	121	-1	0	1	0	0	0
339.66	5	53	57	101	-1	1	0	0	0	0
345.49	5	54	58	147	1	0	0	1	0	0
351.82	5	55	59	145	1	0	0	1	0	0
359.77	5	56	60	122	-1	0	1	0	0	0
363.6	5	57	61	126	1	0	1	0	0	0
375.02	5	58	62	104	1	1	0	0	0	0
378.35	5	59	63	128	1	0	1	0	0	0
388.55	5	60	64	145	1	0	0	1	0	0
395.71	5	61	66	130	1	0	1	0	0	0
400.04	5	62	67	142	1	0	0	1	0	0
406.37	5	63	68	125	1	0	1	0	0	0
410.7	5	64	69	144	1	0	0	1	0	0
415.53	5	65	70	110	-1	1	0	0	0	0
421.85	5	66	71	146	1	0	0	1	0	0
428.95	5	67	72	108	-1	1	0	0	0	0
445.88	5	68	75	125	1	0	1	0	0	0
449.21	5	69	76	150	-1	0	0	1	0	0
457.37	5	70	78	103	1	1	0	0	0	0
461.7	5	71	79	129	1	0	1	0	0	0
465.53	5	72	80	148	-1	0	0	1	0	0
469.86	5	73	81	102	1	1	0	0	0	0
474.68	5	74	82	105	-1	1	0	0	0	0
483.53	5	75	83	143	-1	0	0	1	0	0
486.86	5	76	84	102	1	1	0	0	0	0
490.69	5	77	85	106	1	1	0	0	0	0
504.73	5	78	86	103	1	1	0	0	0	0
508.05	5	79	87	123	1	0	1	0	0	0
512.38	5	80	88	122	-1	0	1	0	0	0
516.71	5	81	89	130	1	0	1	0	0	0
521.03	5	82	90	149	-1	0	0	1	0	0
524.86	5	83	91	146	1	0	0	1	0	0
529.19	5	84	92	110	-1	1	0	0	0	0
534.52	5	85	93	147	1	0	0	1	0	0
542.76	5	86	94	167	0	0	0	0	1	0
546.6	5	87	95	164	0	0	0	0	1	0
551.93	5	88	96	161	0	0	0	0	1	0
556.25	5	89	97	162	0	0	0	0	1	0
560.07	5	90	98	61	0	0	0	0	0	1
564.45	5	91	99	61	0	0	0	0	0	1
570.79	5	92	100	61	0	0	0	0	0	1
576.16	5	93	101	61	0	0	0	0	0	1
582.53	5	94	102	61	0	0	0	0	0	1
617.72	5	95	103	167	0	0	0	0	1	0
621.55	5	96	104	168	0	0	0	0	1	0
626.88	5	97	105	165	0	0	0	0	1	0
631.2	5	98	106	170	0	0	0	0	1	0
