onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0269	3	1	7	1	0.5	1	0	0	1
18.993	3	2	7	1	0.5	1	0	0	0
34.792	3	3	7	1	0.5	1	0	1	0
46.132	3	4	7	1	0.5	1	0	0	0
51.481	3	5	7	1	0.5	1	0	0	0
67.528	3	6	8	1	0.5	-1	0	1	0
85.606	3	7	8	1	0.5	-1	0	0	0
97.228	3	8	8	1	0.5	-1	0	0	1
108.1	3	9	8	1	0.5	-1	0	0	0
114.79	3	10	8	1	0.5	-1	0	0	0
130.84	3	11	6	3	-0.25	1	0	0	1
145.02	3	12	6	3	-0.25	1	0	0	0
156.46	3	13	6	3	-0.25	1	0	1	0
168.37	3	14	6	3	-0.25	1	0	0	0
173.5	3	15	6	3	-0.25	1	0	0	0
189.55	3	16	5	3	-0.25	1	1	0	0
207.73	3	17	5	3	-0.25	1	0	0	0
223.94	3	18	5	3	-0.25	1	0	0	1
234.73	3	19	5	3	-0.25	1	0	0	0
240.35	3	20	5	3	-0.25	1	0	0	0
256.39	3	21	8	2	0	1	0	1	0
275.78	3	22	8	2	0	1	0	0	0
287.32	3	23	8	2	0	1	1	0	0
297.98	3	24	8	2	0	1	0	0	0
303.2	3	25	8	2	0	1	0	0	0
319.24	3	26	7	2	0	1	0	0	1
336.51	3	27	7	2	0	1	0	0	0
352.79	3	28	7	2	0	1	0	1	0
364.06	3	29	7	2	0	1	0	0	0
372.25	3	30	7	2	0	1	0	0	0
388.29	3	31	8	3	-0.25	1	0	1	0
406.9	3	32	8	3	-0.25	1	0	0	0
418.18	3	33	8	3	-0.25	1	1	0	0
429	3	34	8	3	-0.25	1	0	0	0
435.06	3	35	8	3	-0.25	1	0	0	0
451.11	3	36	7	3	-0.25	1	0	0	1
468.54	3	37	7	3	-0.25	1	0	0	0
484.03	3	38	7	3	-0.25	1	0	1	0
495.22	3	39	7	3	-0.25	1	0	0	0
501.2	3	40	7	3	-0.25	1	0	0	0
517.24	3	41	5	4	-0.375	1	1	0	0
536.81	3	42	5	4	-0.375	1	0	0	0
553.11	3	43	5	4	-0.375	1	0	0	1
563.85	3	44	5	4	-0.375	1	0	0	0
569.15	3	45	5	4	-0.375	1	0	0	0
585.2	3	46	6	4	-0.375	1	0	0	1
598.97	3	47	6	4	-0.375	1	0	0	0
610.52	3	48	6	4	-0.375	1	0	1	0
621.55	3	49	6	4	-0.375	1	0	0	0
627.58	3	50	6	4	-0.375	1	0	0	0
