onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0287	2	1	3	3	-0.25	1	0	0	1
14.866	2	2	3	3	-0.25	1	0	0	0
26.687	2	3	3	3	-0.25	1	0	1	0
37.712	2	4	3	3	-0.25	1	0	0	0
45.564	2	5	3	3	-0.25	1	0	0	0
61.612	2	6	2	3	-0.25	1	0	0	1
75.744	2	7	2	3	-0.25	1	0	0	0
92.223	2	8	2	3	-0.25	1	0	1	0
103.55	2	9	2	3	-0.25	1	0	0	0
109.14	2	10	2	3	-0.25	1	0	0	0
125.19	2	11	4	4	-0.375	-1	0	1	0
139.75	2	12	4	4	-0.375	-1	0	0	0
156.22	2	13	4	4	-0.375	-1	0	0	1
167.16	2	14	4	4	-0.375	-1	0	0	0
172.71	2	15	4	4	-0.375	-1	0	0	0
188.75	2	16	5	1	0.5	1	1	0	0
207.01	2	17	5	1	0.5	1	0	0	0
223.69	2	18	5	1	0.5	1	0	1	0
234.75	2	19	5	1	0.5	1	0	0	0
240.3	2	20	5	1	0.5	1	0	0	0
256.35	2	21	1	4	-0.375	1	1	0	0
275.12	2	22	1	4	-0.375	1	0	0	0
286.84	2	23	1	4	-0.375	1	0	0	1
297.97	2	24	1	4	-0.375	1	0	0	0
303.2	2	25	1	4	-0.375	1	0	0	0
319.24	2	26	6	1	0.5	-1	0	1	0
333.84	2	27	6	1	0.5	-1	0	0	0
345.7	2	28	6	1	0.5	-1	0	0	1
356.89	2	29	6	1	0.5	-1	0	0	0
362.83	2	30	6	1	0.5	-1	0	0	0
378.88	2	31	2	4	-0.375	1	0	0	1
392.96	2	32	2	4	-0.375	1	0	0	0
409.51	2	33	2	4	-0.375	1	0	1	0
420.53	2	34	2	4	-0.375	1	0	0	0
430.54	2	35	2	4	-0.375	1	0	0	0
446.59	2	36	3	4	-0.375	-1	0	0	1
460.85	2	37	3	4	-0.375	-1	0	0	0
472.9	2	38	3	4	-0.375	-1	1	0	0
484.39	2	39	3	4	-0.375	-1	0	0	0
489.97	2	40	3	4	-0.375	-1	0	0	0
506.02	2	41	5	2	0	1	1	0	0
524.9	2	42	5	2	0	1	0	0	0
541.51	2	43	5	2	0	1	0	1	0
552.52	2	44	5	2	0	1	0	0	0
557.81	2	45	5	2	0	1	0	0	0
573.86	2	46	6	2	0	-1	0	1	0
587.7	2	47	6	2	0	-1	0	0	0
599.67	2	48	6	2	0	-1	0	0	1
610.66	2	49	6	2	0	-1	0	0	0
616.47	2	50	6	2	0	-1	0	0	0
