onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.084885	5	1	1	128	1	0	1	0	0	0
4.4412	5	2	2	149	-1	0	0	1	0	0
8.2675	5	3	3	146	1	0	0	1	0	0
12.597	5	4	4	142	1	0	0	1	0	0
27.101	5	5	5	101	1	1	0	0	0	0
31.431	5	6	6	109	-1	1	0	0	0	0
37.758	5	7	7	147	1	0	0	1	0	0
41.591	5	8	8	105	1	1	0	0	0	0
46.921	5	9	9	101	1	1	0	0	0	0
61.053	5	10	10	148	-1	0	0	1	0	0
65.385	5	11	11	130	-1	0	1	0	0	0
69.711	5	12	12	126	1	0	1	0	0	0
73.538	5	13	13	104	-1	1	0	0	0	0
79.368	5	14	14	102	1	1	0	0	0	0
83.204	5	15	15	130	-1	0	1	0	0	0
87.533	5	16	16	103	1	1	0	0	0	0
97.343	5	17	17	124	1	0	1	0	0	0
101.68	5	18	18	108	1	1	0	0	0	0
105.5	5	19	19	109	-1	1	0	0	0	0
116.16	5	20	21	145	1	0	0	1	0	0
119.49	5	21	22	129	-1	0	1	0	0	0
123.83	5	22	23	102	1	1	0	0	0	0
136.94	5	23	25	123	1	0	1	0	0	0
141.27	5	24	26	124	1	0	1	0	0	0
145.09	5	25	27	110	-1	1	0	0	0	0
149.42	5	26	28	146	1	0	0	1	0	0
155.75	5	27	29	107	-1	1	0	0	0	0
163.41	5	28	31	150	-1	0	0	1	0	0
167.24	5	29	32	123	1	0	1	0	0	0
178.95	5	30	33	144	1	0	0	1	0	0
190.2	5	31	34	145	1	0	0	1	0	0
196.53	5	32	35	127	1	0	1	0	0	0
201.37	5	33	36	143	-1	0	0	1	0	0
213.8	5	34	37	147	1	0	0	1	0	0
221.95	5	35	39	121	1	0	1	0	0	0
232	5	36	40	128	1	0	1	0	0	0
236.33	5	37	41	161	0	0	0	0	1	0
240.16	5	38	42	169	0	0	0	0	1	0
245.48	5	39	43	168	0	0	0	0	1	0
249.81	5	40	44	165	0	0	0	0	1	0
253.63	5	41	45	61	0	0	0	0	0	1
259.03	5	42	46	61	0	0	0	0	0	1
263.41	5	43	47	61	0	0	0	0	0	1
269.76	5	44	48	61	0	0	0	0	0	1
274.06	5	45	49	61	0	0	0	0	0	1
313.22	5	46	50	170	0	0	0	0	1	0
317.05	5	47	51	162	0	0	0	0	1	0
322.38	5	48	52	166	0	0	0	0	1	0
326.72	5	49	53	163	0	0	0	0	1	0
330.54	5	50	54	108	1	1	0	0	0	0
334.87	5	51	55	124	1	0	1	0	0	0
338.7	5	52	56	129	-1	0	1	0	0	0
343.03	5	53	57	110	-1	1	0	0	0	0
348.86	5	54	58	147	1	0	0	1	0	0
355.19	5	55	59	145	1	0	0	1	0	0
363.44	5	56	60	130	-1	0	1	0	0	0
367.26	5	57	61	124	1	0	1	0	0	0
377.03	5	58	62	103	1	1	0	0	0	0
380.36	5	59	63	126	1	0	1	0	0	0
388.52	5	60	64	145	1	0	0	1	0	0
395.68	5	61	66	128	1	0	1	0	0	0
400.01	5	62	67	142	1	0	0	1	0	0
406.34	5	63	68	123	1	0	1	0	0	0
410.67	5	64	69	144	1	0	0	1	0	0
415.5	5	65	70	109	-1	1	0	0	0	0
421.82	5	66	71	146	1	0	0	1	0	0
429.17	5	67	72	107	-1	1	0	0	0	0
445.87	5	68	75	123	1	0	1	0	0	0
449.19	5	69	76	150	-1	0	0	1	0	0
457.35	5	70	78	102	1	1	0	0	0	0
461.68	5	71	79	127	1	0	1	0	0	0
465.51	5	72	80	148	-1	0	0	1	0	0
469.84	5	73	81	101	1	1	0	0	0	0
474.67	5	74	82	104	-1	1	0	0	0	0
484.63	5	75	83	143	-1	0	0	1	0	0
487.96	5	76	84	101	1	1	0	0	0	0
491.79	5	77	85	105	1	1	0	0	0	0
500.57	5	78	86	102	1	1	0	0	0	0
503.91	5	79	87	121	1	0	1	0	0	0
508.24	5	80	88	130	-1	0	1	0	0	0
512.56	5	81	89	128	1	0	1	0	0	0
516.89	5	82	90	149	-1	0	0	1	0	0
520.72	5	83	91	146	1	0	0	1	0	0
525.05	5	84	92	109	-1	1	0	0	0	0
530.37	5	85	93	147	1	0	0	1	0	0
537.19	5	86	94	167	0	0	0	0	1	0
541.03	5	87	95	164	0	0	0	0	1	0
546.36	5	88	96	161	0	0	0	0	1	0
550.7	5	89	97	162	0	0	0	0	1	0
554.52	5	90	98	61	0	0	0	0	0	1
558.83	5	91	99	61	0	0	0	0	0	1
565.17	5	92	100	61	0	0	0	0	0	1
570.52	5	93	101	61	0	0	0	0	0	1
576.86	5	94	102	61	0	0	0	0	0	1
612.96	5	95	103	167	0	0	0	0	1	0
616.79	5	96	104	168	0	0	0	0	1	0
622.12	5	97	105	165	0	0	0	0	1	0
626.46	5	98	106	170	0	0	0	0	1	0
630.29	5	99	107	101	1	1	0	0	0	0
634.62	5	100	108	107	-1	1	0	0	0	0
638.44	5	101	109	109	-1	1	0	0	0	0
647.58	5	102	110	102	1	1	0	0	0	0
658.24	5	103	112	150	-1	0	0	1	0	0
666.91	5	104	113	123	1	0	1	0	0	0
670.74	5	105	114	127	1	0	1	0	0	0
678.65	5	106	115	108	1	1	0	0	0	0
693.96	5	107	117	129	-1	0	1	0	0	0
701.86	5	108	118	102	1	1	0	0	0	0
705.69	5	109	119	121	1	0	1	0	0	0
710.02	5	110	120	110	-1	1	0	0	0	0
720.59	5	111	121	147	1	0	0	1	0	0
729.25	5	112	123	148	-1	0	0	1	0	0
737.21	5	113	124	147	1	0	0	1	0	0
741.03	5	114	125	104	-1	1	0	0	0	0
745.36	5	115	126	149	-1	0	0	1	0	0
754.92	5	116	127	103	1	1	0	0	0	0
759.26	5	117	128	130	-1	0	1	0	0	0
765.58	5	118	129	145	1	0	0	1	0	0
773.74	5	119	131	124	1	0	1	0	0	0
779.57	5	120	132	128	1	0	1	0	0	0
783.41	5	121	133	126	1	0	1	0	0	0
786.74	5	122	134	109	-1	1	0	0	0	0
792.07	5	123	135	143	-1	0	0	1	0	0
796.41	5	124	136	101	1	1	0	0	0	0
800.74	5	125	137	142	1	0	0	1	0	0
804.56	5	126	138	146	1	0	0	1	0	0
807.89	5	127	139	105	1	1	0	0	0	0
813.23	5	128	140	124	1	0	1	0	0	0
817.06	5	129	141	123	1	0	1	0	0	0
821.39	5	130	142	144	1	0	0	1	0	0
825.72	5	131	143	146	1	0	0	1	0	0
829.55	5	132	144	145	1	0	0	1	0	0
834.88	5	133	145	130	-1	0	1	0	0	0
843.23	5	134	146	128	1	0	1	0	0	0
852.84	5	135	147	166	0	0	0	0	1	0
856.67	5	136	148	163	0	0	0	0	1	0
862	5	137	149	169	0	0	0	0	1	0
866.34	5	138	150	164	0	0	0	0	1	0
870.17	5	139	151	61	0	0	0	0	0	1
875.46	5	140	152	61	0	0	0	0	0	1
879.75	5	141	153	61	0	0	0	0	0	1
886.09	5	142	154	61	0	0	0	0	0	1
890.42	5	143	155	61	0	0	0	0	0	1
