onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.029	3	1	7	1	0.5	1	1	0	0
18.995	3	2	7	1	0.5	1	0	0	0
35.574	3	3	7	1	0.5	1	0	0	1
47.196	3	4	7	1	0.5	1	0	0	0
53.208	3	5	7	1	0.5	1	0	0	0
69.25	3	6	8	1	0.5	-1	0	1	0
87.732	3	7	8	1	0.5	-1	0	0	0
99.503	3	8	8	1	0.5	-1	0	0	1
111.34	3	9	8	1	0.5	-1	0	0	0
117.65	3	10	8	1	0.5	-1	0	0	0
133.69	3	11	6	3	-0.25	1	0	1	0
147.83	3	12	6	3	-0.25	1	0	0	0
159.93	3	13	6	3	-0.25	1	1	0	0
171.09	3	14	6	3	-0.25	1	0	0	0
177.04	3	15	6	3	-0.25	1	0	0	0
193.08	3	16	5	3	-0.25	1	0	0	1
211.49	3	17	5	3	-0.25	1	0	0	0
227.87	3	18	5	3	-0.25	1	0	1	0
239.69	3	19	5	3	-0.25	1	0	0	0
245.77	3	20	5	3	-0.25	1	0	0	0
261.82	3	21	8	2	0	-1	0	1	0
285.59	3	22	8	2	0	-1	0	0	0
297.21	3	23	8	2	0	-1	0	0	1
308.08	3	24	8	2	0	-1	0	0	0
318.02	3	25	8	2	0	-1	0	0	0
334.05	3	26	7	2	0	1	1	0	0
352.5	3	27	7	2	0	1	0	0	0
369.91	3	28	7	2	0	1	0	0	1
380.68	3	29	7	2	0	1	0	0	0
386.4	3	30	7	2	0	1	0	0	0
402.42	3	31	8	3	-0.25	-1	0	1	0
422.13	3	32	8	3	-0.25	-1	0	0	0
434.96	3	33	8	3	-0.25	-1	0	0	1
445.71	3	34	8	3	-0.25	-1	0	0	0
451.47	3	35	8	3	-0.25	-1	0	0	0
467.51	3	36	7	3	-0.25	1	1	0	0
485.43	3	37	7	3	-0.25	1	0	0	0
501.59	3	38	7	3	-0.25	1	0	0	1
512.6	3	39	7	3	-0.25	1	0	0	0
518.22	3	40	7	3	-0.25	1	0	0	0
534.26	3	41	5	4	-0.375	1	0	0	1
552.66	3	42	5	4	-0.375	1	0	0	0
569.88	3	43	5	4	-0.375	1	0	1	0
581.19	3	44	5	4	-0.375	1	0	0	0
587.25	3	45	5	4	-0.375	1	0	0	0
603.29	3	46	6	4	-0.375	-1	0	1	0
617.13	3	47	6	4	-0.375	-1	0	0	0
628.9	3	48	6	4	-0.375	-1	0	0	1
639.91	3	49	6	4	-0.375	-1	0	0	0
645.79	3	50	6	4	-0.375	-1	0	0	0
