onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0251	3	1	7	1	0.5	1	0	0	1
19.92	3	2	7	1	0.5	1	0	0	0
36.134	3	3	7	1	0.5	1	0	1	0
47.175	3	4	7	1	0.5	1	0	0	0
52.69	3	5	7	1	0.5	1	0	0	0
68.736	3	6	8	1	0.5	-1	0	1	0
86.898	3	7	8	1	0.5	-1	0	0	0
98.702	3	8	8	1	0.5	-1	0	0	1
110.29	3	9	8	1	0.5	-1	0	0	0
116.27	3	10	8	1	0.5	-1	0	0	0
132.32	3	11	6	3	-0.25	-1	0	0	1
145.98	3	12	6	3	-0.25	-1	0	0	0
157.71	3	13	6	3	-0.25	-1	1	0	0
168.65	3	14	6	3	-0.25	-1	0	0	0
175.21	3	15	6	3	-0.25	-1	0	0	0
191.25	3	16	5	3	-0.25	1	1	0	0
209.25	3	17	5	3	-0.25	1	0	0	0
226.19	3	18	5	3	-0.25	1	0	0	1
237.03	3	19	5	3	-0.25	1	0	0	0
242.27	3	20	5	3	-0.25	1	0	0	0
258.31	3	21	8	2	0	1	0	1	0
276.82	3	22	8	2	0	1	0	0	0
288.35	3	23	8	2	0	1	1	0	0
299.34	3	24	8	2	0	1	0	0	0
304.62	3	25	8	2	0	1	0	0	0
320.67	3	26	7	2	0	1	0	0	1
339.11	3	27	7	2	0	1	0	0	0
355.11	3	28	7	2	0	1	0	1	0
366.02	3	29	7	2	0	1	0	0	0
371.25	3	30	7	2	0	1	0	0	0
387.3	3	31	8	3	-0.25	1	0	1	0
406.42	3	32	8	3	-0.25	1	0	0	0
418.69	3	33	8	3	-0.25	1	1	0	0
429.7	3	34	8	3	-0.25	1	0	0	0
435.01	3	35	8	3	-0.25	1	0	0	0
451.06	3	36	7	3	-0.25	1	0	0	1
469.15	3	37	7	3	-0.25	1	0	0	0
485.37	3	38	7	3	-0.25	1	0	1	0
496.48	3	39	7	3	-0.25	1	0	0	0
501.99	3	40	7	3	-0.25	1	0	0	0
518.04	3	41	5	4	-0.375	1	1	0	0
536.08	3	42	5	4	-0.375	1	0	0	0
553.09	3	43	5	4	-0.375	1	0	0	1
563.85	3	44	5	4	-0.375	1	0	0	0
568.92	3	45	5	4	-0.375	1	0	0	0
584.97	3	46	6	4	-0.375	1	0	0	1
598.25	3	47	6	4	-0.375	1	0	0	0
610.14	3	48	6	4	-0.375	1	0	1	0
620.8	3	49	6	4	-0.375	1	0	0	0
625.85	3	50	6	4	-0.375	1	0	0	0
