onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0317	4	1	9	1	0.5	-1	1	0	0
19.197	4	2	9	1	0.5	-1	0	0	0
30.868	4	3	9	1	0.5	-1	0	1	0
41.843	4	4	9	1	0.5	-1	0	0	0
48.07	4	5	9	1	0.5	-1	0	0	0
64.119	4	6	10	1	0.5	-1	0	1	0
77.222	4	7	10	1	0.5	-1	0	0	0
94	4	8	10	1	0.5	-1	1	0	0
105.26	4	9	10	1	0.5	-1	0	0	0
110.7	4	10	10	1	0.5	-1	0	0	0
126.75	4	11	7	4	-0.375	-1	0	0	1
145.36	4	12	7	4	-0.375	-1	0	0	0
161.48	4	13	7	4	-0.375	-1	0	1	0
172.6	4	14	7	4	-0.375	-1	0	0	0
178.46	4	15	7	4	-0.375	-1	0	0	0
194.51	4	16	8	4	-0.375	-1	0	1	0
212.57	4	17	8	4	-0.375	-1	0	0	0
224.14	4	18	8	4	-0.375	-1	1	0	0
234.97	4	19	8	4	-0.375	-1	0	0	0
241.28	4	20	8	4	-0.375	-1	0	0	0
257.33	4	21	9	2	0	0	1	0	0
276.66	4	22	9	2	0	0	0	0	0
288.4	4	23	9	2	0	0	0	1	0
299.31	4	24	9	2	0	0	0	0	0
305.16	4	25	9	2	0	0	0	0	0
321.21	4	26	10	2	0	0	0	1	0
334.81	4	27	10	2	0	0	0	0	0
351.52	4	28	10	2	0	0	1	0	0
362.56	4	29	10	2	0	0	0	0	0
368.4	4	30	10	2	0	0	0	0	0
384.45	4	31	9	3	0	0	1	0	0
402.28	4	32	9	3	0	0	0	0	0
414.3	4	33	9	3	0	0	0	0	1
425.29	4	34	9	3	0	0	0	0	0
431.22	4	35	9	3	0	0	0	0	0
447.27	4	36	10	3	0	0	0	1	0
460.72	4	37	10	3	0	0	0	0	0
476.65	4	38	10	3	0	0	0	0	1
487.51	4	39	10	3	0	0	0	0	0
493.44	4	40	10	3	0	0	0	0	0
509.49	4	41	9	4	0	0	1	0	0
527.78	4	42	9	4	0	0	0	0	0
539.5	4	43	9	4	0	0	0	1	0
550.28	4	44	9	4	0	0	0	0	0
555.65	4	45	9	4	0	0	0	0	0
571.7	4	46	10	4	0	0	0	1	0
585.01	4	47	10	4	0	0	0	0	0
601.13	4	48	10	4	0	0	1	0	0
612.14	4	49	10	4	0	0	0	0	0
617.82	4	50	10	4	0	0	0	0	0
