onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0212	3	1	7	1	0.5	1	0	0	1
19.402	3	2	7	1	0.5	1	0	0	0
37.423	3	3	7	1	0.5	1	0	1	0
48.763	3	4	7	1	0.5	1	0	0	0
54.36	3	5	7	1	0.5	1	0	0	0
70.403	3	6	8	1	0.5	-1	0	1	0
89.099	3	7	8	1	0.5	-1	0	0	0
100.27	3	8	8	1	0.5	-1	0	0	1
112.26	3	9	8	1	0.5	-1	0	0	0
117.62	3	10	8	1	0.5	-1	0	0	0
133.67	3	11	6	3	-0.25	1	0	0	1
147.34	3	12	6	3	-0.25	1	0	0	0
158.88	3	13	6	3	-0.25	1	0	1	0
169.94	3	14	6	3	-0.25	1	0	0	0
175.68	3	15	6	3	-0.25	1	0	0	0
191.73	3	16	5	3	-0.25	1	1	0	0
209.91	3	17	5	3	-0.25	1	0	0	0
226.6	3	18	5	3	-0.25	1	0	0	1
237.83	3	19	5	3	-0.25	1	0	0	0
243.96	3	20	5	3	-0.25	1	0	0	0
259.98	3	21	8	2	0	1	0	1	0
277.95	3	22	8	2	0	1	0	0	0
289.6	3	23	8	2	0	1	1	0	0
300.94	3	24	8	2	0	1	0	0	0
306.29	3	25	8	2	0	1	0	0	0
322.34	3	26	7	2	0	1	0	0	1
340.62	3	27	7	2	0	1	0	0	0
356.86	3	28	7	2	0	1	0	1	0
367.76	3	29	7	2	0	1	0	0	0
374.03	3	30	7	2	0	1	0	0	0
390.08	3	31	8	3	-0.25	1	0	1	0
408.23	3	32	8	3	-0.25	1	0	0	0
419.76	3	33	8	3	-0.25	1	1	0	0
430.64	3	34	8	3	-0.25	1	0	0	0
436.7	3	35	8	3	-0.25	1	0	0	0
452.75	3	36	7	3	-0.25	1	0	0	1
471.29	3	37	7	3	-0.25	1	0	0	0
487.19	3	38	7	3	-0.25	1	0	1	0
498.43	3	39	7	3	-0.25	1	0	0	0
503.83	3	40	7	3	-0.25	1	0	0	0
519.87	3	41	5	4	-0.375	1	1	0	0
538.27	3	42	5	4	-0.375	1	0	0	0
554.9	3	43	5	4	-0.375	1	0	0	1
565.86	3	44	5	4	-0.375	1	0	0	0
572.25	3	45	5	4	-0.375	1	0	0	0
588.29	3	46	6	4	-0.375	1	0	0	1
602.63	3	47	6	4	-0.375	1	0	0	0
614.1	3	48	6	4	-0.375	1	0	1	0
625.09	3	49	6	4	-0.375	1	0	0	0
630.99	3	50	6	4	-0.375	1	0	0	0
