onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.071105	5	1	1	122	1	0	1	0	0	0
4.4289	5	2	2	149	-1	0	0	1	0	0
8.2559	5	3	3	146	1	0	0	1	0	0
12.586	5	4	4	142	1	0	0	1	0	0
23.791	5	5	5	106	1	1	0	0	0	0
28.12	5	6	6	101	-1	1	0	0	0	0
34.447	5	7	7	147	1	0	0	1	0	0
38.281	5	8	8	104	1	1	0	0	0	0
43.611	5	9	9	106	1	1	0	0	0	0
53.846	5	10	10	148	-1	0	0	1	0	0
58.178	5	11	11	127	-1	0	1	0	0	0
62.505	5	12	12	121	1	0	1	0	0	0
66.332	5	13	13	103	-1	1	0	0	0	0
72.162	5	14	14	108	1	1	0	0	0	0
75.998	5	15	15	127	-1	0	1	0	0	0
80.328	5	16	16	105	1	1	0	0	0	0
89.922	5	17	17	129	1	0	1	0	0	0
94.254	5	18	18	110	-1	1	0	0	0	0
98.081	5	19	19	101	-1	1	0	0	0	0
108.74	5	20	21	145	1	0	0	1	0	0
112.07	5	21	22	123	-1	0	1	0	0	0
116.4	5	22	23	108	1	1	0	0	0	0
129.56	5	23	25	124	1	0	1	0	0	0
133.89	5	24	26	129	1	0	1	0	0	0
137.72	5	25	27	102	-1	1	0	0	0	0
142.05	5	26	28	146	1	0	0	1	0	0
148.38	5	27	29	107	-1	1	0	0	0	0
156.04	5	28	31	150	-1	0	0	1	0	0
159.87	5	29	32	124	1	0	1	0	0	0
168.01	5	30	33	144	1	0	0	1	0	0
179.33	5	31	34	145	1	0	0	1	0	0
185.67	5	32	35	130	1	0	1	0	0	0
190.5	5	33	36	143	-1	0	0	1	0	0
202.15	5	34	37	147	1	0	0	1	0	0
210.31	5	35	39	125	1	0	1	0	0	0
218.04	5	36	40	122	1	0	1	0	0	0
222.38	5	37	41	161	0	0	0	0	1	0
226.2	5	38	42	169	0	0	0	0	1	0
231.53	5	39	43	168	0	0	0	0	1	0
235.86	5	40	44	165	0	0	0	0	1	0
239.68	5	41	45	61	0	0	0	0	0	1
245.11	5	42	46	61	0	0	0	0	0	1
249.46	5	43	47	61	0	0	0	0	0	1
255.8	5	44	48	61	0	0	0	0	0	1
260.17	5	45	49	61	0	0	0	0	0	1
298.84	5	46	50	170	0	0	0	0	1	0
302.67	5	47	51	162	0	0	0	0	1	0
308	5	48	52	166	0	0	0	0	1	0
312.32	5	49	53	163	0	0	0	0	1	0
316.14	5	50	54	110	-1	1	0	0	0	0
320.47	5	51	55	129	1	0	1	0	0	0
324.3	5	52	56	123	-1	0	1	0	0	0
328.63	5	53	57	102	-1	1	0	0	0	0
334.46	5	54	58	147	1	0	0	1	0	0
340.79	5	55	59	145	1	0	0	1	0	0
348.73	5	56	60	127	-1	0	1	0	0	0
352.55	5	57	61	129	1	0	1	0	0	0
360.02	5	58	62	105	1	1	0	0	0	0
363.34	5	59	63	121	1	0	1	0	0	0
374.59	5	60	64	145	1	0	0	1	0	0
381.75	5	61	66	122	1	0	1	0	0	0
386.08	5	62	67	142	1	0	0	1	0	0
392.4	5	63	68	124	1	0	1	0	0	0
396.74	5	64	69	144	1	0	0	1	0	0
401.57	5	65	70	101	-1	1	0	0	0	0
407.89	5	66	71	146	1	0	0	1	0	0
414.66	5	67	72	107	-1	1	0	0	0	0
432.7	5	68	75	124	1	0	1	0	0	0
436.02	5	69	76	150	-1	0	0	1	0	0
444.18	5	70	78	108	1	1	0	0	0	0
448.51	5	71	79	130	1	0	1	0	0	0
452.34	5	72	80	148	-1	0	0	1	0	0
456.67	5	73	81	106	1	1	0	0	0	0
461.5	5	74	82	103	-1	1	0	0	0	0
471.09	5	75	83	143	-1	0	0	1	0	0
474.42	5	76	84	106	1	1	0	0	0	0
478.25	5	77	85	104	1	1	0	0	0	0
487.12	5	78	86	108	1	1	0	0	0	0
490.44	5	79	87	125	1	0	1	0	0	0
494.77	5	80	88	127	-1	0	1	0	0	0
499.1	5	81	89	122	1	0	1	0	0	0
503.42	5	82	90	149	-1	0	0	1	0	0
507.25	5	83	91	146	1	0	0	1	0	0
511.58	5	84	92	101	-1	1	0	0	0	0
516.91	5	85	93	147	1	0	0	1	0	0
523.25	5	86	94	167	0	0	0	0	1	0
527.08	5	87	95	164	0	0	0	0	1	0
532.41	5	88	96	161	0	0	0	0	1	0
536.73	5	89	97	162	0	0	0	0	1	0
540.56	5	90	98	61	0	0	0	0	0	1
544.9	5	91	99	61	0	0	0	0	0	1
551.26	5	92	100	61	0	0	0	0	0	1
556.56	5	93	101	61	0	0	0	0	0	1
562.91	5	94	102	61	0	0	0	0	0	1
599.07	5	95	103	167	0	0	0	0	1	0
602.89	5	96	104	168	0	0	0	0	1	0
608.22	5	97	105	165	0	0	0	0	1	0
612.55	5	98	106	170	0	0	0	0	1	0
616.37	5	99	107	106	1	1	0	0	0	0
620.7	5	100	108	107	-1	1	0	0	0	0
624.53	5	101	109	101	-1	1	0	0	0	0
632.69	5	102	110	108	1	1	0	0	0	0
643.34	5	103	112	150	-1	0	0	1	0	0
653.03	5	104	113	124	1	0	1	0	0	0
656.86	5	105	114	130	1	0	1	0	0	0
665.3	5	106	115	110	-1	1	0	0	0	0
680.51	5	107	117	123	-1	0	1	0	0	0
687.15	5	108	118	108	1	1	0	0	0	0
690.98	5	109	119	125	1	0	1	0	0	0
695.31	5	110	120	102	-1	1	0	0	0	0
702.62	5	111	121	147	1	0	0	1	0	0
711.28	5	112	123	148	-1	0	0	1	0	0
719.45	5	113	124	147	1	0	0	1	0	0
723.27	5	114	125	103	-1	1	0	0	0	0
727.6	5	115	126	149	-1	0	0	1	0	0
736.39	5	116	127	105	1	1	0	0	0	0
740.72	5	117	128	127	-1	0	1	0	0	0
747.05	5	118	129	145	1	0	0	1	0	0
755.21	5	119	131	129	1	0	1	0	0	0
761.04	5	120	132	122	1	0	1	0	0	0
764.87	5	121	133	121	1	0	1	0	0	0
768.2	5	122	134	101	-1	1	0	0	0	0
773.53	5	123	135	143	-1	0	0	1	0	0
777.86	5	124	136	106	1	1	0	0	0	0
782.18	5	125	137	142	1	0	0	1	0	0
786.01	5	126	138	146	1	0	0	1	0	0
789.34	5	127	139	104	1	1	0	0	0	0
794.67	5	128	140	129	1	0	1	0	0	0
798.49	5	129	141	124	1	0	1	0	0	0
802.82	5	130	142	144	1	0	0	1	0	0
807.15	5	131	143	146	1	0	0	1	0	0
810.98	5	132	144	145	1	0	0	1	0	0
816.31	5	133	145	127	-1	0	1	0	0	0
824.59	5	134	146	122	1	0	1	0	0	0
832.56	5	135	147	166	0	0	0	0	1	0
836.39	5	136	148	163	0	0	0	0	1	0
841.72	5	137	149	169	0	0	0	0	1	0
846.04	5	138	150	164	0	0	0	0	1	0
849.87	5	139	151	61	0	0	0	0	0	1
855.18	5	140	152	61	0	0	0	0	0	1
859.59	5	141	153	61	0	0	0	0	0	1
865.91	5	142	154	61	0	0	0	0	0	1
870.23	5	143	155	61	0	0	0	0	0	1
