onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.072866	5	1	1	130	1	0	1	0	0	0
4.4303	5	2	2	149	-1	0	0	1	0	0
8.257	5	3	3	146	1	0	0	1	0	0
12.587	5	4	4	142	1	0	0	1	0	0
22.632	5	5	5	102	1	1	0	0	0	0
26.961	5	6	6	110	-1	1	0	0	0	0
33.288	5	7	7	147	1	0	0	1	0	0
37.121	5	8	8	106	1	1	0	0	0	0
42.45	5	9	9	102	1	1	0	0	0	0
49.751	5	10	10	148	-1	0	0	1	0	0
54.083	5	11	11	122	-1	0	1	0	0	0
58.411	5	12	12	128	1	0	1	0	0	0
62.238	5	13	13	105	-1	1	0	0	0	0
68.068	5	14	14	103	1	1	0	0	0	0
71.903	5	15	15	122	-1	0	1	0	0	0
76.233	5	16	16	104	1	1	0	0	0	0
83.605	5	17	17	126	1	0	1	0	0	0
91.765	5	18	19	110	-1	1	0	0	0	0
102.42	5	19	21	145	1	0	0	1	0	0
105.75	5	20	22	121	-1	0	1	0	0	0
110.09	5	21	23	103	1	1	0	0	0	0
118.86	5	22	24	127	-1	0	1	0	0	0
122.68	5	23	25	125	1	0	1	0	0	0
127.01	5	24	26	126	1	0	1	0	0	0
130.84	5	25	27	101	-1	1	0	0	0	0
135.17	5	26	28	146	1	0	0	1	0	0
141.5	5	27	29	108	-1	1	0	0	0	0
149.16	5	28	31	150	-1	0	0	1	0	0
152.99	5	29	32	125	1	0	1	0	0	0
161.15	5	30	33	144	1	0	0	1	0	0
168.36	5	31	34	145	1	0	0	1	0	0
174.69	5	32	35	129	1	0	1	0	0	0
179.52	5	33	36	143	-1	0	0	1	0	0
187.46	5	34	37	147	1	0	0	1	0	0
191.29	5	35	38	107	-1	1	0	0	0	0
195.62	5	36	39	123	1	0	1	0	0	0
203.04	5	37	40	130	1	0	1	0	0	0
207.37	5	38	41	161	0	0	0	0	1	0
211.2	5	39	42	169	0	0	0	0	1	0
216.53	5	40	43	168	0	0	0	0	1	0
220.87	5	41	44	165	0	0	0	0	1	0
224.69	5	42	45	61	0	0	0	0	0	1
230.07	5	43	46	61	0	0	0	0	0	1
234.34	5	44	47	61	0	0	0	0	0	1
240.7	5	45	48	61	0	0	0	0	0	1
245.05	5	46	49	61	0	0	0	0	0	1
281.94	5	47	50	170	0	0	0	0	1	0
285.77	5	48	51	162	0	0	0	0	1	0
291.1	5	49	52	166	0	0	0	0	1	0
295.44	5	50	53	163	0	0	0	0	1	0
303.59	5	51	55	126	1	0	1	0	0	0
307.42	5	52	56	121	-1	0	1	0	0	0
311.75	5	53	57	101	-1	1	0	0	0	0
317.58	5	54	58	147	1	0	0	1	0	0
323.91	5	55	59	145	1	0	0	1	0	0
331.58	5	56	60	122	-1	0	1	0	0	0
335.41	5	57	61	126	1	0	1	0	0	0
342.24	5	58	62	104	1	1	0	0	0	0
345.57	5	59	63	128	1	0	1	0	0	0
352.98	5	60	64	145	1	0	0	1	0	0
360.14	5	61	66	130	1	0	1	0	0	0
364.47	5	62	67	142	1	0	0	1	0	0
370.8	5	63	68	125	1	0	1	0	0	0
375.13	5	64	69	144	1	0	0	1	0	0
379.96	5	65	70	110	-1	1	0	0	0	0
386.3	5	66	71	146	1	0	0	1	0	0
393.6	5	67	72	108	-1	1	0	0	0	0
401.36	5	68	73	107	-1	1	0	0	0	0
413.86	5	69	75	125	1	0	1	0	0	0
417.19	5	70	76	150	-1	0	0	1	0	0
421.52	5	71	77	127	-1	0	1	0	0	0
428.26	5	72	78	103	1	1	0	0	0	0
