onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.067335	5	1	1	122	1	0	1	0	0	0
4.4255	5	2	2	149	-1	0	0	1	0	0
8.2524	5	3	3	146	1	0	0	1	0	0
12.583	5	4	4	142	1	0	0	1	0	0
23.721	5	5	5	106	1	1	0	0	0	0
28.05	5	6	6	101	-1	1	0	0	0	0
34.378	5	7	7	147	1	0	0	1	0	0
38.211	5	8	8	104	1	1	0	0	0	0
43.54	5	9	9	106	1	1	0	0	0	0
53.279	5	10	10	148	-1	0	0	1	0	0
57.611	5	11	11	127	-1	0	1	0	0	0
61.938	5	12	12	121	1	0	1	0	0	0
65.765	5	13	13	103	-1	1	0	0	0	0
71.595	5	14	14	108	1	1	0	0	0	0
75.431	5	15	15	127	-1	0	1	0	0	0
79.761	5	16	16	105	1	1	0	0	0	0
87.116	5	17	17	129	1	0	1	0	0	0
91.448	5	18	18	110	-1	1	0	0	0	0
95.276	5	19	19	101	-1	1	0	0	0	0
99.605	5	20	20	141	-1	0	0	1	0	0
111.35	5	21	21	145	1	0	0	1	0	0
114.69	5	22	22	123	-1	0	1	0	0	0
119.02	5	23	23	108	1	1	0	0	0	0
132.73	5	24	25	124	1	0	1	0	0	0
137.06	5	25	26	129	1	0	1	0	0	0
140.89	5	26	27	102	-1	1	0	0	0	0
145.21	5	27	28	146	1	0	0	1	0	0
151.54	5	28	29	107	-1	1	0	0	0	0
159.21	5	29	31	150	-1	0	0	1	0	0
163.03	5	30	32	124	1	0	1	0	0	0
172.34	5	31	33	144	1	0	0	1	0	0
180.31	5	32	34	145	1	0	0	1	0	0
186.64	5	33	35	130	1	0	1	0	0	0
191.47	5	34	36	143	-1	0	0	1	0	0
199.53	5	35	37	147	1	0	0	1	0	0
207.68	5	36	39	125	1	0	1	0	0	0
216.95	5	37	40	122	1	0	1	0	0	0
221.28	5	38	41	161	0	0	0	0	1	0
225.11	5	39	42	169	0	0	0	0	1	0
230.44	5	40	43	168	0	0	0	0	1	0
234.76	5	41	44	165	0	0	0	0	1	0
238.58	5	42	45	61	0	0	0	0	0	1
243.91	5	43	46	61	0	0	0	0	0	1
248.23	5	44	47	61	0	0	0	0	0	1
254.56	5	45	48	61	0	0	0	0	0	1
258.89	5	46	49	61	0	0	0	0	0	1
296.2	5	47	50	170	0	0	0	0	1	0
300.03	5	48	51	162	0	0	0	0	1	0
305.36	5	49	52	166	0	0	0	0	1	0
309.68	5	50	53	163	0	0	0	0	1	0
313.5	5	51	54	110	-1	1	0	0	0	0
317.83	5	52	55	129	1	0	1	0	0	0
321.66	5	53	56	123	-1	0	1	0	0	0
325.99	5	54	57	102	-1	1	0	0	0	0
331.82	5	55	58	147	1	0	0	1	0	0
338.15	5	56	59	145	1	0	0	1	0	0
346.8	5	57	60	127	-1	0	1	0	0	0
350.63	5	58	61	129	1	0	1	0	0	0
359.2	5	59	62	105	1	1	0	0	0	0
362.53	5	60	63	121	1	0	1	0	0	0
370.79	5	61	64	145	1	0	0	1	0	0
374.12	5	62	65	141	-1	0	0	1	0	0
377.95	5	63	66	122	1	0	1	0	0	0
382.28	5	64	67	142	1	0	0	1	0	0
388.6	5	65	68	124	1	0	1	0	0	0
392.94	5	66	69	144	1	0	0	1	0	0
397.76	5	67	70	101	-1	1	0	0	0	0
404.09	5	68	71	146	1	0	0	1	0	0
411.6	5	69	72	107	-1	1	0	0	0	0
429.21	5	70	75	124	1	0	1	0	0	0
432.54	5	71	76	150	-1	0	0	1	0	0
440.7	5	72	78	108	1	1	0	0	0	0
445.03	5	73	79	130	1	0	1	0	0	0
448.86	5	74	80	148	-1	0	0	1	0	0
453.19	5	75	81	106	1	1	0	0	0	0
458.01	5	76	82	103	-1	1	0	0	0	0
466.8	5	77	83	143	-1	0	0	1	0	0
470.12	5	78	84	106	1	1	0	0	0	0
473.96	5	79	85	104	1	1	0	0	0	0
483.31	5	80	86	108	1	1	0	0	0	0
486.64	5	81	87	125	1	0	1	0	0	0
490.97	5	82	88	127	-1	0	1	0	0	0
495.3	5	83	89	122	1	0	1	0	0	0
499.62	5	84	90	149	-1	0	0	1	0	0
503.45	5	85	91	146	1	0	0	1	0	0
507.78	5	86	92	101	-1	1	0	0	0	0
513.11	5	87	93	147	1	0	0	1	0	0
520.71	5	88	94	167	0	0	0	0	1	0
524.54	5	89	95	164	0	0	0	0	1	0
529.87	5	90	96	161	0	0	0	0	1	0
534.19	5	91	97	162	0	0	0	0	1	0
538.02	5	92	98	61	0	0	0	0	0	1
542.42	5	93	99	61	0	0	0	0	0	1
548.77	5	94	100	61	0	0	0	0	0	1
554.12	5	95	101	61	0	0	0	0	0	1
560.49	5	96	102	61	0	0	0	0	0	1
595.91	5	97	103	167	0	0	0	0	1	0
599.74	5	98	104	168	0	0	0	0	1	0
605.07	5	99	105	165	0	0	0	0	1	0
609.39	5	100	106	170	0	0	0	0	1	0
613.22	5	101	107	106	1	1	0	0	0	0
617.55	5	102	108	107	-1	1	0	0	0	0
621.38	5	103	109	101	-1	1	0	0	0	0
630.35	5	104	110	108	1	1	0	0	0	0
641	5	105	112	150	-1	0	0	1	0	0
650.59	5	106	113	124	1	0	1	0	0	0
654.42	5	107	114	130	1	0	1	0	0	0
662.86	5	108	115	110	-1	1	0	0	0	0
671.01	5	109	116	141	-1	0	0	1	0	0
676.34	5	110	117	123	-1	0	1	0	0	0
682.98	5	111	118	108	1	1	0	0	0	0
686.81	5	112	119	125	1	0	1	0	0	0
691.14	5	113	120	102	-1	1	0	0	0	0
699	5	114	121	147	1	0	0	1	0	0
707.66	5	115	123	148	-1	0	0	1	0	0
716.19	5	116	124	147	1	0	0	1	0	0
720.02	5	117	125	103	-1	1	0	0	0	0
724.35	5	118	126	149	-1	0	0	1	0	0
731.53	5	119	127	105	1	1	0	0	0	0
735.86	5	120	128	127	-1	0	1	0	0	0
742.18	5	121	129	145	1	0	0	1	0	0
750.34	5	122	131	129	1	0	1	0	0	0
756.17	5	123	132	122	1	0	1	0	0	0
