onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.086936	5	1	1	128	1	0	1	0	0	0
4.4428	5	2	2	149	-1	0	0	1	0	0
8.2692	5	3	3	146	1	0	0	1	0	0
12.599	5	4	4	142	1	0	0	1	0	0
26.424	5	5	5	101	1	1	0	0	0	0
30.752	5	6	6	109	-1	1	0	0	0	0
37.08	5	7	7	147	1	0	0	1	0	0
40.913	5	8	8	105	1	1	0	0	0	0
46.242	5	9	9	101	1	1	0	0	0	0
55.98	5	10	10	148	-1	0	0	1	0	0
60.313	5	11	11	130	-1	0	1	0	0	0
64.64	5	12	12	126	1	0	1	0	0	0
68.467	5	13	13	104	-1	1	0	0	0	0
74.296	5	14	14	102	1	1	0	0	0	0
78.132	5	15	15	130	-1	0	1	0	0	0
82.462	5	16	16	103	1	1	0	0	0	0
91.359	5	17	17	124	1	0	1	0	0	0
95.692	5	18	18	108	1	1	0	0	0	0
99.519	5	19	19	109	-1	1	0	0	0	0
110.18	5	20	21	145	1	0	0	1	0	0
113.51	5	21	22	129	-1	0	1	0	0	0
117.84	5	22	23	102	1	1	0	0	0	0
127.39	5	23	24	125	-1	0	1	0	0	0
131.22	5	24	25	123	1	0	1	0	0	0
135.55	5	25	26	124	1	0	1	0	0	0
139.37	5	26	27	110	-1	1	0	0	0	0
143.7	5	27	28	146	1	0	0	1	0	0
150.03	5	28	29	107	-1	1	0	0	0	0
157.7	5	29	31	150	-1	0	0	1	0	0
161.52	5	30	32	123	1	0	1	0	0	0
171.21	5	31	33	144	1	0	0	1	0	0
189.79	5	32	34	145	1	0	0	1	0	0
196.12	5	33	35	127	1	0	1	0	0	0
200.95	5	34	36	143	-1	0	0	1	0	0
212.27	5	35	37	147	1	0	0	1	0	0
220.43	5	36	39	121	1	0	1	0	0	0
232.61	5	37	40	128	1	0	1	0	0	0
236.94	5	38	41	161	0	0	0	0	1	0
240.77	5	39	42	169	0	0	0	0	1	0
246.1	5	40	43	168	0	0	0	0	1	0
250.44	5	41	44	165	0	0	0	0	1	0
254.27	5	42	45	61	0	0	0	0	0	1
259.64	5	43	46	61	0	0	0	0	0	1
263.98	5	44	47	61	0	0	0	0	0	1
270.34	5	45	48	61	0	0	0	0	0	1
274.7	5	46	49	61	0	0	0	0	0	1
312.87	5	47	50	170	0	0	0	0	1	0
316.7	5	48	51	162	0	0	0	0	1	0
322.03	5	49	52	166	0	0	0	0	1	0
326.37	5	50	53	163	0	0	0	0	1	0
330.2	5	51	54	108	1	1	0	0	0	0
334.53	5	52	55	124	1	0	1	0	0	0
338.35	5	53	56	129	-1	0	1	0	0	0
342.68	5	54	57	110	-1	1	0	0	0	0
348.51	5	55	58	147	1	0	0	1	0	0
354.84	5	56	59	145	1	0	0	1	0	0
363.87	5	57	60	130	-1	0	1	0	0	0
367.7	5	58	61	124	1	0	1	0	0	0
379.25	5	59	62	103	1	1	0	0	0	0
382.58	5	60	63	126	1	0	1	0	0	0
396.55	5	61	64	145	1	0	0	1	0	0
403.71	5	62	66	128	1	0	1	0	0	0
408.04	5	63	67	142	1	0	0	1	0	0
414.36	5	64	68	123	1	0	1	0	0	0
418.7	5	65	69	144	1	0	0	1	0	0
423.52	5	66	70	109	-1	1	0	0	0	0
429.85	5	67	71	146	1	0	0	1	0	0
437.41	5	68	72	107	-1	1	0	0	0	0
459.18	5	69	75	123	1	0	1	0	0	0
462.51	5	70	76	150	-1	0	0	1	0	0
466.84	5	71	77	125	-1	0	1	0	0	0
477.53	5	72	78	102	1	1	0	0	0	0
481.86	5	73	79	127	1	0	1	0	0	0
485.69	5	74	80	148	-1	0	0	1	0	0
490.02	5	75	81	101	1	1	0	0	0	0
494.84	5	76	82	104	-1	1	0	0	0	0
504.34	5	77	83	143	-1	0	0	1	0	0
507.67	5	78	84	101	1	1	0	0	0	0
511.5	5	79	85	105	1	1	0	0	0	0
527.38	5	80	86	102	1	1	0	0	0	0
530.71	5	81	87	121	1	0	1	0	0	0
535.05	5	82	88	130	-1	0	1	0	0	0
539.37	5	83	89	128	1	0	1	0	0	0
543.7	5	84	90	149	-1	0	0	1	0	0
547.53	5	85	91	146	1	0	0	1	0	0
551.86	5	86	92	109	-1	1	0	0	0	0
557.18	5	87	93	147	1	0	0	1	0	0
565.35	5	88	94	167	0	0	0	0	1	0
569.18	5	89	95	164	0	0	0	0	1	0
574.51	5	90	96	161	0	0	0	0	1	0
578.85	5	91	97	162	0	0	0	0	1	0
582.67	5	92	98	61	0	0	0	0	0	1
586.95	5	93	99	61	0	0	0	0	0	1
593.34	5	94	100	61	0	0	0	0	0	1
598.72	5	95	101	61	0	0	0	0	0	1
605.03	5	96	102	61	0	0	0	0	0	1
640.32	5	97	103	167	0	0	0	0	1	0
644.15	5	98	104	168	0	0	0	0	1	0
649.48	5	99	105	165	0	0	0	0	1	0
653.82	5	100	106	170	0	0	0	0	1	0
657.64	5	101	107	101	1	1	0	0	0	0
661.97	5	102	108	107	-1	1	0	0	0	0
665.8	5	103	109	109	-1	1	0	0	0	0
675.02	5	104	110	102	1	1	0	0	0	0
679.35	5	105	111	125	-1	0	1	0	0	0
685.67	5	106	112	150	-1	0	0	1	0	0
694.61	5	107	113	123	1	0	1	0	0	0
698.44	5	108	114	127	1	0	1	0	0	0
706.9	5	109	115	108	1	1	0	0	0	0
723.6	5	110	117	129	-1	0	1	0	0	0
738.18	5	111	118	102	1	1	0	0	0	0
742.01	5	112	119	121	1	0	1	0	0	0
746.34	5	113	120	110	-1	1	0	0	0	0
756.87	5	114	121	147	1	0	0	1	0	0
765.53	5	115	123	148	-1	0	0	1	0	0
778.57	5	116	124	147	1	0	0	1	0	0
782.4	5	117	125	104	-1	1	0	0	0	0
786.73	5	118	126	149	-1	0	0	1	0	0
799.09	5	119	127	103	1	1	0	0	0	0
803.42	5	120	128	130	-1	0	1	0	0	0
809.75	5	121	129	145	1	0	0	1	0	0
817.91	5	122	131	124	1	0	1	0	0	0
823.74	5	123	132	128	1	0	1	0	0	0
827.57	5	124	133	126	1	0	1	0	0	0
830.9	5	125	134	109	-1	1	0	0	0	0
836.24	5	126	135	143	-1	0	0	1	0	0
840.58	5	127	136	101	1	1	0	0	0	0
844.9	5	128	137	142	1	0	0	1	0	0
848.73	5	129	138	146	1	0	0	1	0	0
852.06	5	130	139	105	1	1	0	0	0	0
857.39	5	131	140	124	1	0	1	0	0	0
861.23	5	132	141	123	1	0	1	0	0	0
865.56	5	133	142	144	1	0	0	1	0	0
869.89	5	134	143	146	1	0	0	1	0	0
873.71	5	135	144	145	1	0	0	1	0	0
879.04	5	136	145	130	-1	0	1	0	0	0
887.46	5	137	146	128	1	0	1	0	0	0
895.8	5	138	147	166	0	0	0	0	1	0
899.63	5	139	148	163	0	0	0	0	1	0
904.96	5	140	149	169	0	0	0	0	1	0
909.29	5	141	150	164	0	0	0	0	1	0
913.12	5	142	151	61	0	0	0	0	0	1
918.46	5	143	152	61	0	0	0	0	0	1
922.78	5	144	153	61	0	0	0	0	0	1
929.11	5	145	154	61	0	0	0	0	0	1
933.41	5	146	155	61	0	0	0	0	0	1
