onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0304	3	1	7	1	0.5	1	1	0	0
19.975	3	2	7	1	0.5	1	0	0	0
36.338	3	3	7	1	0.5	1	0	0	1
47.844	3	4	7	1	0.5	1	0	0	0
56.542	3	5	7	1	0.5	1	0	0	0
72.583	3	6	8	1	0.5	-1	0	1	0
91.762	3	7	8	1	0.5	-1	0	0	0
103.07	3	8	8	1	0.5	-1	0	0	1
114.01	3	9	8	1	0.5	-1	0	0	0
119.59	3	10	8	1	0.5	-1	0	0	0
135.63	3	11	6	3	-0.25	1	0	1	0
149.89	3	12	6	3	-0.25	1	0	0	0
161.23	3	13	6	3	-0.25	1	1	0	0
172.09	3	14	6	3	-0.25	1	0	0	0
177.39	3	15	6	3	-0.25	1	0	0	0
193.41	3	16	5	3	-0.25	1	0	0	1
211.46	3	17	5	3	-0.25	1	0	0	0
228.07	3	18	5	3	-0.25	1	0	1	0
239.1	3	19	5	3	-0.25	1	0	0	0
244.66	3	20	5	3	-0.25	1	0	0	0
260.7	3	21	8	2	0	1	0	1	0
278.79	3	22	8	2	0	1	0	0	0
290.46	3	23	8	2	0	1	1	0	0
301.64	3	24	8	2	0	1	0	0	0
307.18	3	25	8	2	0	1	0	0	0
323.22	3	26	7	2	0	1	1	0	0
341.42	3	27	7	2	0	1	0	0	0
357.85	3	28	7	2	0	1	0	0	1
368.96	3	29	7	2	0	1	0	0	0
376.04	3	30	7	2	0	1	0	0	0
392.06	3	31	8	3	-0.25	1	0	1	0
410.39	3	32	8	3	-0.25	1	0	0	0
422.41	3	33	8	3	-0.25	1	1	0	0
433.4	3	34	8	3	-0.25	1	0	0	0
438.95	3	35	8	3	-0.25	1	0	0	0
454.99	3	36	7	3	-0.25	1	1	0	0
473.16	3	37	7	3	-0.25	1	0	0	0
489.52	3	38	7	3	-0.25	1	0	0	1
500.67	3	39	7	3	-0.25	1	0	0	0
506.15	3	40	7	3	-0.25	1	0	0	0
522.19	3	41	5	4	-0.375	1	0	0	1
540.54	3	42	5	4	-0.375	1	0	0	0
556.57	3	43	5	4	-0.375	1	0	1	0
567.81	3	44	5	4	-0.375	1	0	0	0
573.11	3	45	5	4	-0.375	1	0	0	0
589.16	3	46	6	4	-0.375	1	0	1	0
604.14	3	47	6	4	-0.375	1	0	0	0
615.57	3	48	6	4	-0.375	1	1	0	0
626.98	3	49	6	4	-0.375	1	0	0	0
632.13	3	50	6	4	-0.375	1	0	0	0
