onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.067824	5	1	1	128	1	0	1	0	0	0
4.4248	5	2	2	149	-1	0	0	1	0	0
8.2514	5	3	3	146	1	0	0	1	0	0
12.581	5	4	4	142	1	0	0	1	0	0
30.269	5	5	5	101	1	1	0	0	0	0
34.598	5	6	6	109	-1	1	0	0	0	0
40.926	5	7	7	147	1	0	0	1	0	0
44.759	5	8	8	105	1	1	0	0	0	0
50.088	5	9	9	101	1	1	0	0	0	0
60.374	5	10	10	148	-1	0	0	1	0	0
64.707	5	11	11	130	-1	0	1	0	0	0
69.034	5	12	12	126	1	0	1	0	0	0
72.86	5	13	13	104	-1	1	0	0	0	0
78.69	5	14	14	102	1	1	0	0	0	0
82.526	5	15	15	130	-1	0	1	0	0	0
90.185	5	16	17	124	1	0	1	0	0	0
94.515	5	17	18	108	1	1	0	0	0	0
98.342	5	18	19	109	-1	1	0	0	0	0
109	5	19	21	145	1	0	0	1	0	0
112.33	5	20	22	129	-1	0	1	0	0	0
116.66	5	21	23	102	1	1	0	0	0	0
127.39	5	22	24	125	-1	0	1	0	0	0
131.22	5	23	25	123	1	0	1	0	0	0
135.55	5	24	26	124	1	0	1	0	0	0
139.38	5	25	27	110	-1	1	0	0	0	0
143.7	5	26	28	146	1	0	0	1	0	0
150.03	5	27	29	107	-1	1	0	0	0	0
153.37	5	28	30	122	-1	0	1	0	0	0
167.96	5	29	31	150	-1	0	0	1	0	0
171.82	5	30	32	123	1	0	1	0	0	0
185.34	5	31	33	144	1	0	0	1	0	0
197.93	5	32	34	145	1	0	0	1	0	0
204.26	5	33	35	127	1	0	1	0	0	0
209.1	5	34	36	143	-1	0	0	1	0	0
219.09	5	35	37	147	1	0	0	1	0	0
227.25	5	36	39	121	1	0	1	0	0	0
235.37	5	37	40	128	1	0	1	0	0	0
239.7	5	38	41	161	0	0	0	0	1	0
243.52	5	39	42	169	0	0	0	0	1	0
248.85	5	40	43	168	0	0	0	0	1	0
253.18	5	41	44	165	0	0	0	0	1	0
257	5	42	45	61	0	0	0	0	0	1
262.31	5	43	46	61	0	0	0	0	0	1
266.65	5	44	47	61	0	0	0	0	0	1
272.99	5	45	48	61	0	0	0	0	0	1
277.34	5	46	49	61	0	0	0	0	0	1
316.23	5	47	50	170	0	0	0	0	1	0
320.05	5	48	51	162	0	0	0	0	1	0
325.38	5	49	52	166	0	0	0	0	1	0
329.71	5	50	53	163	0	0	0	0	1	0
333.53	5	51	54	108	1	1	0	0	0	0
337.86	5	52	55	124	1	0	1	0	0	0
341.69	5	53	56	129	-1	0	1	0	0	0
346.02	5	54	57	110	-1	1	0	0	0	0
351.85	5	55	58	147	1	0	0	1	0	0
358.18	5	56	59	145	1	0	0	1	0	0
367.01	5	57	60	130	-1	0	1	0	0	0
370.83	5	58	61	124	1	0	1	0	0	0
384.36	5	59	63	126	1	0	1	0	0	0
393.27	5	60	64	145	1	0	0	1	0	0
400.43	5	61	66	128	1	0	1	0	0	0
404.76	5	62	67	142	1	0	0	1	0	0
411.09	5	63	68	123	1	0	1	0	0	0
415.42	5	64	69	144	1	0	0	1	0	0
