onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.072982	5	1	1	122	1	0	1	0	0	0
4.4284	5	2	2	149	-1	0	0	1	0	0
8.2553	5	3	3	146	1	0	0	1	0	0
12.585	5	4	4	142	1	0	0	1	0	0
27.238	5	5	5	106	1	1	0	0	0	0
31.567	5	6	6	101	-1	1	0	0	0	0
37.895	5	7	7	147	1	0	0	1	0	0
41.728	5	8	8	104	1	1	0	0	0	0
47.058	5	9	9	106	1	1	0	0	0	0
59.995	5	10	10	148	-1	0	0	1	0	0
64.328	5	11	11	127	-1	0	1	0	0	0
68.656	5	12	12	121	1	0	1	0	0	0
72.482	5	13	13	103	-1	1	0	0	0	0
78.311	5	14	14	108	1	1	0	0	0	0
82.147	5	15	15	127	-1	0	1	0	0	0
86.477	5	16	16	105	1	1	0	0	0	0
98.574	5	17	17	129	1	0	1	0	0	0
102.91	5	18	18	110	-1	1	0	0	0	0
106.73	5	19	19	101	-1	1	0	0	0	0
111.06	5	20	20	141	-1	0	0	1	0	0
123.81	5	21	21	145	1	0	0	1	0	0
127.14	5	22	22	123	-1	0	1	0	0	0
131.47	5	23	23	108	1	1	0	0	0	0
140.71	5	24	24	126	-1	0	1	0	0	0
144.53	5	25	25	124	1	0	1	0	0	0
148.86	5	26	26	129	1	0	1	0	0	0
152.69	5	27	27	102	-1	1	0	0	0	0
157.02	5	28	28	146	1	0	0	1	0	0
163.35	5	29	29	107	-1	1	0	0	0	0
171.01	5	30	31	150	-1	0	0	1	0	0
174.84	5	31	32	124	1	0	1	0	0	0
182.88	5	32	33	144	1	0	0	1	0	0
195.78	5	33	34	145	1	0	0	1	0	0
202.11	5	34	35	130	1	0	1	0	0	0
206.94	5	35	36	143	-1	0	0	1	0	0
215.05	5	36	37	147	1	0	0	1	0	0
223.2	5	37	39	125	1	0	1	0	0	0
235.9	5	38	40	122	1	0	1	0	0	0
240.23	5	39	41	161	0	0	0	0	1	0
244.06	5	40	42	169	0	0	0	0	1	0
249.39	5	41	43	168	0	0	0	0	1	0
253.71	5	42	44	165	0	0	0	0	1	0
257.54	5	43	45	61	0	0	0	0	0	1
262.81	5	44	46	61	0	0	0	0	0	1
267.13	5	45	47	61	0	0	0	0	0	1
273.48	5	46	48	61	0	0	0	0	0	1
277.79	5	47	49	61	0	0	0	0	0	1
315.55	5	48	50	170	0	0	0	0	1	0
319.38	5	49	51	162	0	0	0	0	1	0
324.71	5	50	52	166	0	0	0	0	1	0
329.03	5	51	53	163	0	0	0	0	1	0
332.85	5	52	54	110	-1	1	0	0	0	0
337.18	5	53	55	129	1	0	1	0	0	0
341.01	5	54	56	123	-1	0	1	0	0	0
345.34	5	55	57	102	-1	1	0	0	0	0
351.17	5	56	58	147	1	0	0	1	0	0
357.5	5	57	59	145	1	0	0	1	0	0
365.37	5	58	60	127	-1	0	1	0	0	0
369.2	5	59	61	129	1	0	1	0	0	0
381.88	5	60	62	105	1	1	0	0	0	0
385.21	5	61	63	121	1	0	1	0	0	0
396.36	5	62	64	145	1	0	0	1	0	0
399.68	5	63	65	141	-1	0	0	1	0	0
403.51	5	64	66	122	1	0	1	0	0	0
407.84	5	65	67	142	1	0	0	1	0	0
414.17	5	66	68	124	1	0	1	0	0	0
418.5	5	67	69	144	1	0	0	1	0	0
423.33	5	68	70	101	-1	1	0	0	0	0
429.66	5	69	71	146	1	0	0	1	0	0
438.03	5	70	72	107	-1	1	0	0	0	0
456.47	5	71	75	124	1	0	1	0	0	0
459.8	5	72	76	150	-1	0	0	1	0	0
464.13	5	73	77	126	-1	0	1	0	0	0
475.3	5	74	78	108	1	1	0	0	0	0
479.63	5	75	79	130	1	0	1	0	0	0
483.46	5	76	80	148	-1	0	0	1	0	0
487.79	5	77	81	106	1	1	0	0	0	0
492.62	5	78	82	103	-1	1	0	0	0	0
501.32	5	79	83	143	-1	0	0	1	0	0
504.64	5	80	84	106	1	1	0	0	0	0
508.48	5	81	85	104	1	1	0	0	0	0
517.82	5	82	86	108	1	1	0	0	0	0
521.14	5	83	87	125	1	0	1	0	0	0
525.47	5	84	88	127	-1	0	1	0	0	0
529.8	5	85	89	122	1	0	1	0	0	0
534.13	5	86	90	149	-1	0	0	1	0	0
537.95	5	87	91	146	1	0	0	1	0	0
542.28	5	88	92	101	-1	1	0	0	0	0
547.61	5	89	93	147	1	0	0	1	0	0
554.05	5	90	94	167	0	0	0	0	1	0
557.88	5	91	95	164	0	0	0	0	1	0
563.21	5	92	96	161	0	0	0	0	1	0
567.53	5	93	97	162	0	0	0	0	1	0
571.36	5	94	98	61	0	0	0	0	0	1
575.72	5	95	99	61	0	0	0	0	0	1
582	5	96	100	61	0	0	0	0	0	1
587.31	5	97	101	61	0	0	0	0	0	1
593.62	5	98	102	61	0	0	0	0	0	1
629.17	5	99	103	167	0	0	0	0	1	0
633	5	100	104	168	0	0	0	0	1	0
638.33	5	101	105	165	0	0	0	0	1	0
642.65	5	102	106	170	0	0	0	0	1	0
646.48	5	103	107	106	1	1	0	0	0	0
650.81	5	104	108	107	-1	1	0	0	0	0
654.64	5	105	109	101	-1	1	0	0	0	0
664.95	5	106	110	108	1	1	0	0	0	0
669.28	5	107	111	126	-1	0	1	0	0	0
675.61	5	108	112	150	-1	0	0	1	0	0
683.34	5	109	113	124	1	0	1	0	0	0
687.16	5	110	114	130	1	0	1	0	0	0
697.36	5	111	115	110	-1	1	0	0	0	0
709.07	5	112	116	141	-1	0	0	1	0	0
714.39	5	113	117	123	-1	0	1	0	0	0
720.93	5	114	118	108	1	1	0	0	0	0
724.77	5	115	119	125	1	0	1	0	0	0
729.1	5	116	120	102	-1	1	0	0	0	0
739.17	5	117	121	147	1	0	0	1	0	0
747.83	5	118	123	148	-1	0	0	1	0	0
756.96	5	119	124	147	1	0	0	1	0	0
760.79	5	120	125	103	-1	1	0	0	0	0
765.12	5	121	126	149	-1	0	0	1	0	0
777.3	5	122	127	105	1	1	0	0	0	0
781.63	5	123	128	127	-1	0	1	0	0	0
787.96	5	124	129	145	1	0	0	1	0	0
796.12	5	125	131	129	1	0	1	0	0	0
801.95	5	126	132	122	1	0	1	0	0	0
805.79	5	127	133	121	1	0	1	0	0	0
809.12	5	128	134	101	-1	1	0	0	0	0
814.45	5	129	135	143	-1	0	0	1	0	0
818.77	5	130	136	106	1	1	0	0	0	0
823.1	5	131	137	142	1	0	0	1	0	0
826.93	5	132	138	146	1	0	0	1	0	0
830.25	5	133	139	104	1	1	0	0	0	0
835.59	5	134	140	129	1	0	1	0	0	0
839.41	5	135	141	124	1	0	1	0	0	0
843.74	5	136	142	144	1	0	0	1	0	0
848.07	5	137	143	146	1	0	0	1	0	0
851.89	5	138	144	145	1	0	0	1	0	0
857.22	5	139	145	127	-1	0	1	0	0	0
868.84	5	140	146	122	1	0	1	0	0	0
877.69	5	141	147	166	0	0	0	0	1	0
881.52	5	142	148	163	0	0	0	0	1	0
886.85	5	143	149	169	0	0	0	0	1	0
891.17	5	144	150	164	0	0	0	0	1	0
895	5	145	151	61	0	0	0	0	0	1
900.31	5	146	152	61	0	0	0	0	0	1
904.55	5	147	153	61	0	0	0	0	0	1
910.91	5	148	154	61	0	0	0	0	0	1
915.21	5	149	155	61	0	0	0	0	0	1
