onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0327	3	1	7	1	0.5	1	1	0	0
19.695	3	2	7	1	0.5	1	0	0	0
37.368	3	3	7	1	0.5	1	0	0	1
53.334	3	4	7	1	0.5	1	0	0	0
59.048	3	5	7	1	0.5	1	0	0	0
75.089	3	6	8	1	0.5	-1	0	1	0
93.654	3	7	8	1	0.5	-1	0	0	0
105.33	3	8	8	1	0.5	-1	0	0	1
116.7	3	9	8	1	0.5	-1	0	0	0
123.37	3	10	8	1	0.5	-1	0	0	0
139.42	3	11	6	3	-0.25	1	0	1	0
154.18	3	12	6	3	-0.25	1	0	0	0
165.84	3	13	6	3	-0.25	1	1	0	0
177.44	3	14	6	3	-0.25	1	0	0	0
183.39	3	15	6	3	-0.25	1	0	0	0
199.43	3	16	5	3	-0.25	1	0	0	1
218.23	3	17	5	3	-0.25	1	0	0	0
234.69	3	18	5	3	-0.25	1	0	1	0
245.9	3	19	5	3	-0.25	1	0	0	0
252.14	3	20	5	3	-0.25	1	0	0	0
268.18	3	21	8	2	0	1	0	1	0
286.68	3	22	8	2	0	1	0	0	0
298.9	3	23	8	2	0	1	1	0	0
310.71	3	24	8	2	0	1	0	0	0
316.02	3	25	8	2	0	1	0	0	0
332.06	3	26	7	2	0	1	1	0	0
350.58	3	27	7	2	0	1	0	0	0
367.16	3	28	7	2	0	1	0	0	1
383.39	3	29	7	2	0	1	0	0	0
389.02	3	30	7	2	0	1	0	0	0
405.06	3	31	8	3	-0.25	1	0	1	0
424.19	3	32	8	3	-0.25	1	0	0	0
436.03	3	33	8	3	-0.25	1	1	0	0
450.07	3	34	8	3	-0.25	1	0	0	0
464.22	3	35	8	3	-0.25	1	0	0	0
480.26	3	36	7	3	-0.25	1	1	0	0
498.96	3	37	7	3	-0.25	1	0	0	0
512.94	3	38	7	3	-0.25	1	0	0	1
524.06	3	39	7	3	-0.25	1	0	0	0
530.21	3	40	7	3	-0.25	1	0	0	0
546.25	3	41	5	4	-0.375	1	0	0	1
566.11	3	42	5	4	-0.375	1	0	0	0
601.09	3	43	5	4	-0.375	1	0	1	0
612.05	3	44	5	4	-0.375	1	0	0	0
617.53	3	45	5	4	-0.375	1	0	0	0
633.57	3	46	6	4	-0.375	1	0	1	0
647.54	3	47	6	4	-0.375	1	0	0	0
659.4	3	48	6	4	-0.375	1	1	0	0
671.33	3	49	6	4	-0.375	1	0	0	0
677.39	3	50	6	4	-0.375	1	0	0	0
