onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0867	1	1	1	1	0.5	1	0	0	1
19.892	1	2	1	1	0.5	1	0	0	0
32.906	1	3	1	1	0.5	1	1	0	0
44.28	1	4	1	1	0.5	1	0	0	0
50.907	1	5	1	1	0.5	1	0	0	0
66.947	1	6	3	1	0.5	-1	0	1	0
81.715	1	7	3	1	0.5	-1	0	0	0
93.436	1	8	3	1	0.5	-1	1	0	0
104.71	1	9	3	1	0.5	-1	0	0	0
110.75	1	10	3	1	0.5	-1	0	0	0
126.8	1	11	2	1	0.5	1	1	0	0
140.87	1	12	2	1	0.5	1	0	0	0
157.8	1	13	2	1	0.5	1	0	1	0
168.97	1	14	2	1	0.5	1	0	0	0
174.92	1	15	2	1	0.5	1	0	0	0
190.96	1	16	4	1	0.5	-1	0	0	1
204.75	1	17	4	1	0.5	-1	0	0	0
221.01	1	18	4	1	0.5	-1	1	0	0
232.2	1	19	4	1	0.5	-1	0	0	0
237.87	1	20	4	1	0.5	-1	0	0	0
253.91	1	21	2	2	0	-1	1	0	0
267.71	1	22	2	2	0	-1	0	0	0
284.18	1	23	2	2	0	-1	0	0	1
295.83	1	24	2	2	0	-1	0	0	0
302.32	1	25	2	2	0	-1	0	0	0
318.37	1	26	3	2	0	1	0	1	0
331.69	1	27	3	2	0	1	0	0	0
343.66	1	28	3	2	0	1	0	0	1
354.57	1	29	3	2	0	1	0	0	0
359.8	1	30	3	2	0	1	0	0	0
375.84	1	31	1	2	0	1	0	0	1
394.51	1	32	1	2	0	1	0	0	0
406.43	1	33	1	2	0	1	1	0	0
417.79	1	34	1	2	0	1	0	0	0
423.05	1	35	1	2	0	1	0	0	0
439.09	1	36	4	2	0	1	0	0	1
452.9	1	37	4	2	0	1	0	0	0
469.25	1	38	4	2	0	1	0	1	0
480.8	1	39	4	2	0	1	0	0	0
486.07	1	40	4	2	0	1	0	0	0
502.11	1	41	1	3	-0.25	1	0	0	1
520.1	1	42	1	3	-0.25	1	0	0	0
531.67	1	43	1	3	-0.25	1	1	0	0
542.56	1	44	1	3	-0.25	1	0	0	0
549.07	1	45	1	3	-0.25	1	0	0	0
565.11	1	46	4	3	-0.25	1	0	0	1
578.79	1	47	4	3	-0.25	1	0	0	0
594.92	1	48	4	3	-0.25	1	0	1	0
606.07	1	49	4	3	-0.25	1	0	0	0
611.71	1	50	4	3	-0.25	1	0	0	0
