onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0187	2	1	3	3	-0.25	-1	0	1	0
17.31	2	2	3	3	-0.25	-1	0	0	0
30.275	2	3	3	3	-0.25	-1	1	0	0
41.847	2	4	3	3	-0.25	-1	0	0	0
48.19	2	5	3	3	-0.25	-1	0	0	0
64.233	2	6	2	3	-0.25	-1	1	0	0
80.327	2	7	2	3	-0.25	-1	0	0	0
98.514	2	8	2	3	-0.25	-1	0	0	1
110.04	2	9	2	3	-0.25	-1	0	0	0
115.97	2	10	2	3	-0.25	-1	0	0	0
132.01	2	11	4	4	-0.375	1	0	0	1
146.83	2	12	4	4	-0.375	1	0	0	0
164.61	2	13	4	4	-0.375	1	0	1	0
176.47	2	14	4	4	-0.375	1	0	0	0
182.48	2	15	4	4	-0.375	1	0	0	0
198.51	2	16	5	1	0.5	1	0	0	1
218.56	2	17	5	1	0.5	1	0	0	0
231.05	2	18	5	1	0.5	1	0	1	0
242.95	2	19	5	1	0.5	1	0	0	0
261.84	2	20	5	1	0.5	1	0	0	0
277.87	2	21	1	4	-0.375	1	0	0	1
293.25	2	22	1	4	-0.375	1	0	0	0
306.25	2	23	1	4	-0.375	1	1	0	0
317.77	2	24	1	4	-0.375	1	0	0	0
325.18	2	25	1	4	-0.375	1	0	0	0
341.22	2	26	6	1	0.5	-1	0	1	0
356.96	2	27	6	1	0.5	-1	0	0	0
370.46	2	28	6	1	0.5	-1	0	0	1
383.08	2	29	6	1	0.5	-1	0	0	0
389.45	2	30	6	1	0.5	-1	0	0	0
405.49	2	31	2	4	-0.375	-1	1	0	0
422.7	2	32	2	4	-0.375	-1	0	0	0
440.9	2	33	2	4	-0.375	-1	0	0	1
452.43	2	34	2	4	-0.375	-1	0	0	0
460.76	2	35	2	4	-0.375	-1	0	0	0
476.8	2	36	3	4	-0.375	1	0	1	0
492.3	2	37	3	4	-0.375	1	0	0	0
505.18	2	38	3	4	-0.375	1	0	0	1
516.65	2	39	3	4	-0.375	1	0	0	0
522.3	2	40	3	4	-0.375	1	0	0	0
538.34	2	41	5	2	0	-1	0	0	1
559	2	42	5	2	0	-1	0	0	0
576.47	2	43	5	2	0	-1	1	0	0
588.39	2	44	5	2	0	-1	0	0	0
595.23	2	45	5	2	0	-1	0	0	0
611.27	2	46	6	2	0	1	0	1	0
627.12	2	47	6	2	0	1	0	0	0
641.01	2	48	6	2	0	1	1	0	0
652.55	2	49	6	2	0	1	0	0	0
658.76	2	50	6	2	0	1	0	0	0
