onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0261	4	1	9	1	0.5	-1	1	0	0
19.473	4	2	9	1	0.5	-1	0	0	0
31.344	4	3	9	1	0.5	-1	0	1	0
42.319	4	4	9	1	0.5	-1	0	0	0
48.811	4	5	9	1	0.5	-1	0	0	0
64.853	4	6	10	1	0.5	-1	0	1	0
79.091	4	7	10	1	0.5	-1	0	0	0
96.284	4	8	10	1	0.5	-1	1	0	0
108.54	4	9	10	1	0.5	-1	0	0	0
114.76	4	10	10	1	0.5	-1	0	0	0
130.8	4	11	7	4	-0.375	1	1	0	0
149.09	4	12	7	4	-0.375	1	0	0	0
165.97	4	13	7	4	-0.375	1	0	0	1
179.2	4	14	7	4	-0.375	1	0	0	0
185.34	4	15	7	4	-0.375	1	0	0	0
201.38	4	16	8	4	-0.375	1	0	1	0
220.56	4	17	8	4	-0.375	1	0	0	0
232.98	4	18	8	4	-0.375	1	1	0	0
246.51	4	19	8	4	-0.375	1	0	0	0
252.78	4	20	8	4	-0.375	1	0	0	0
268.83	4	21	9	2	0	0	1	0	0
291.34	4	22	9	2	0	0	0	0	0
303.06	4	23	9	2	0	0	0	0	1
314.13	4	24	9	2	0	0	0	0	0
319.96	4	25	9	2	0	0	0	0	0
335.99	4	26	10	2	0	0	0	1	0
349.46	4	27	10	2	0	0	0	0	0
366.74	4	28	10	2	0	0	1	0	0
377.66	4	29	10	2	0	0	0	0	0
383.16	4	30	10	2	0	0	0	0	0
399.21	4	31	9	3	0	0	1	0	0
417.68	4	32	9	3	0	0	0	0	0
430.8	4	33	9	3	0	0	0	1	0
442.57	4	34	9	3	0	0	0	0	0
448.35	4	35	9	3	0	0	0	0	0
464.39	4	36	10	3	0	0	0	1	0
478.16	4	37	10	3	0	0	0	0	0
490.96	4	38	10	3	0	0	0	0	1
501.97	4	39	10	3	0	0	0	0	0
507.58	4	40	10	3	0	0	0	0	0
523.63	4	41	9	4	0	0	1	0	0
542.9	4	42	9	4	0	0	0	0	0
558.34	4	43	9	4	0	0	0	1	0
569.4	4	44	9	4	0	0	0	0	0
574.85	4	45	9	4	0	0	0	0	0
590.89	4	46	10	4	0	0	0	1	0
604.51	4	47	10	4	0	0	0	0	0
621.72	4	48	10	4	0	0	1	0	0
636.01	4	49	10	4	0	0	0	0	0
641.49	4	50	10	4	0	0	0	0	0
