onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.076698	5	1	1	128	1	0	1	0	0	0
4.734	5	2	2	149	-1	0	0	1	0	0
8.8586	5	3	3	146	1	0	0	1	0	0
13.487	5	4	4	142	1	0	0	1	0	0
33.67	5	5	6	109	-1	1	0	0	0	0
40.295	5	6	7	147	1	0	0	1	0	0
53.692	5	7	10	148	-1	0	0	1	0	0
58.322	5	8	11	130	-1	0	1	0	0	0
62.949	5	9	12	126	1	0	1	0	0	0
73.202	5	10	14	102	1	1	0	0	0	0
77.336	5	11	15	130	-1	0	1	0	0	0
90.221	5	12	18	108	-1	1	0	0	0	0
94.362	5	13	19	109	-1	1	0	0	0	0
109.26	5	14	22	129	-1	0	1	0	0	0
113.89	5	15	23	102	1	1	0	0	0	0
141.16	5	16	27	110	-1	1	0	0	0	0
145.79	5	17	28	146	1	0	0	1	0	0
160.68	5	18	31	150	-1	0	0	1	0	0
179.69	5	19	35	127	1	0	1	0	0	0
189.46	5	20	37	147	1	0	0	1	0	0
201.85	5	21	40	128	1	0	1	0	0	0
206.48	5	22	41	61	0	0	0	0	0	1
211.89	5	23	42	61	0	0	0	0	0	1
216.29	5	24	43	61	0	0	0	0	0	1
222.7	5	25	44	61	0	0	0	0	0	1
227.1	5	26	45	61	0	0	0	0	0	1
233.51	5	27	46	108	-1	1	0	0	0	0
242.26	5	28	48	129	-1	0	1	0	0	0
246.88	5	29	49	110	-1	1	0	0	0	0
253.01	5	30	50	147	1	0	0	1	0	0
264.27	5	31	52	130	-1	0	1	0	0	0
276.65	5	32	55	126	1	0	1	0	0	0
297.03	5	33	58	128	1	0	1	0	0	0
301.66	5	34	59	142	1	0	0	1	0	0
318.03	5	35	62	109	-1	1	0	0	0	0
324.65	5	36	63	146	1	0	0	1	0	0
350.64	5	37	68	150	-1	0	0	1	0	0
359.4	5	38	70	102	1	1	0	0	0	0
364.03	5	39	71	127	1	0	1	0	0	0
368.15	5	40	72	148	-1	0	0	1	0	0
395.92	5	41	78	102	1	1	0	0	0	0
404.17	5	42	80	130	-1	0	1	0	0	0
408.8	5	43	81	128	1	0	1	0	0	0
413.42	5	44	82	149	-1	0	0	1	0	0
417.55	5	45	83	146	1	0	0	1	0	0
422.18	5	46	84	109	-1	1	0	0	0	0
427.8	5	47	85	147	1	0	0	1	0	0
435.1	5	48	86	61	0	0	0	0	0	1
439.51	5	49	87	61	0	0	0	0	0	1
445.92	5	50	88	61	0	0	0	0	0	1
451.34	5	51	89	61	0	0	0	0	0	1
457.74	5	52	90	61	0	0	0	0	0	1
470.93	5	53	93	109	-1	1	0	0	0	0
479.46	5	54	94	102	1	1	0	0	0	0
490.72	5	55	96	150	-1	0	0	1	0	0
502.76	5	56	98	127	1	0	1	0	0	0
513.18	5	57	99	108	-1	1	0	0	0	0
527.96	5	58	101	129	-1	0	1	0	0	0
536.57	5	59	102	102	1	1	0	0	0	0
545.33	5	60	104	110	-1	1	0	0	0	0
552.89	5	61	105	147	1	0	0	1	0	0
562.14	5	62	107	148	-1	0	0	1	0	0
569.85	5	63	108	147	1	0	0	1	0	0
578.6	5	64	110	149	-1	0	0	1	0	0
590.95	5	65	112	130	-1	0	1	0	0	0
612.45	5	66	116	128	1	0	1	0	0	0
616.59	5	67	117	126	1	0	1	0	0	0
620.22	5	68	118	109	-1	1	0	0	0	0
635.13	5	69	121	142	1	0	0	1	0	0
639.28	5	70	122	146	1	0	0	1	0	0
661.94	5	71	127	146	1	0	0	1	0	0
671.69	5	72	129	130	-1	0	1	0	0	0
679.35	5	73	130	128	1	0	1	0	0	0
687.5	5	74	131	61	0	0	0	0	0	1
692.91	5	75	132	61	0	0	0	0	0	1
697.31	5	76	133	61	0	0	0	0	0	1
703.73	5	77	134	61	0	0	0	0	0	1
708.13	5	78	135	61	0	0	0	0	0	1
