onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.072584	5	1	1	128	1	0	1	0	0	0
4.4303	5	2	2	149	-1	0	0	1	0	0
8.2572	5	3	3	146	1	0	0	1	0	0
12.587	5	4	4	142	1	0	0	1	0	0
36.956	5	5	5	101	1	1	0	0	0	0
41.285	5	6	6	109	-1	1	0	0	0	0
47.612	5	7	7	147	1	0	0	1	0	0
51.445	5	8	8	105	1	1	0	0	0	0
56.775	5	9	9	101	1	1	0	0	0	0
66.33	5	10	10	148	-1	0	0	1	0	0
70.662	5	11	11	130	-1	0	1	0	0	0
74.99	5	12	12	126	1	0	1	0	0	0
78.817	5	13	13	104	-1	1	0	0	0	0
84.646	5	14	14	102	1	1	0	0	0	0
88.482	5	15	15	130	-1	0	1	0	0	0
92.812	5	16	16	103	1	1	0	0	0	0
104.03	5	17	17	124	1	0	1	0	0	0
108.36	5	18	18	108	1	1	0	0	0	0
112.19	5	19	19	109	-1	1	0	0	0	0
122.85	5	20	21	145	1	0	0	1	0	0
126.18	5	21	22	129	-1	0	1	0	0	0
130.51	5	22	23	102	1	1	0	0	0	0
144.75	5	23	25	123	1	0	1	0	0	0
149.08	5	24	26	124	1	0	1	0	0	0
152.91	5	25	27	110	-1	1	0	0	0	0
157.24	5	26	28	146	1	0	0	1	0	0
163.56	5	27	29	107	-1	1	0	0	0	0
171.23	5	28	31	150	-1	0	0	1	0	0
175.06	5	29	32	123	1	0	1	0	0	0
184.21	5	30	33	144	1	0	0	1	0	0
193.19	5	31	34	145	1	0	0	1	0	0
199.52	5	32	35	127	1	0	1	0	0	0
204.36	5	33	36	143	-1	0	0	1	0	0
219.21	5	34	37	147	1	0	0	1	0	0
227.37	5	35	39	121	1	0	1	0	0	0
238.53	5	36	40	128	1	0	1	0	0	0
242.87	5	37	41	161	0	0	0	0	1	0
246.69	5	38	42	169	0	0	0	0	1	0
252.02	5	39	43	168	0	0	0	0	1	0
256.34	5	40	44	165	0	0	0	0	1	0
260.17	5	41	45	61	0	0	0	0	0	1
265.46	5	42	46	61	0	0	0	0	0	1
269.82	5	43	47	61	0	0	0	0	0	1
276.13	5	44	48	61	0	0	0	0	0	1
280.46	5	45	49	61	0	0	0	0	0	1
317.72	5	46	50	170	0	0	0	0	1	0
321.55	5	47	51	162	0	0	0	0	1	0
326.88	5	48	52	166	0	0	0	0	1	0
331.2	5	49	53	163	0	0	0	0	1	0
335.03	5	50	54	108	1	1	0	0	0	0
339.35	5	51	55	124	1	0	1	0	0	0
343.18	5	52	56	129	-1	0	1	0	0	0
347.51	5	53	57	110	-1	1	0	0	0	0
353.34	5	54	58	147	1	0	0	1	0	0
359.67	5	55	59	145	1	0	0	1	0	0
369.25	5	56	60	130	-1	0	1	0	0	0
373.07	5	57	61	124	1	0	1	0	0	0
383.17	5	58	62	103	1	1	0	0	0	0
386.5	5	59	63	126	1	0	1	0	0	0
400.27	5	60	64	145	1	0	0	1	0	0
407.42	5	61	66	128	1	0	1	0	0	0
411.75	5	62	67	142	1	0	0	1	0	0
418.08	5	63	68	123	1	0	1	0	0	0
422.41	5	64	69	144	1	0	0	1	0	0
427.24	5	65	70	109	-1	1	0	0	0	0
433.57	5	66	71	146	1	0	0	1	0	0
444.4	5	67	72	107	-1	1	0	0	0	0
460.88	5	68	75	123	1	0	1	0	0	0
464.2	5	69	76	150	-1	0	0	1	0	0
472.36	5	70	78	102	1	1	0	0	0	0
