onsets	block	event	eventorig	stimnumber	reward	stimface	stimscene	stimobj	stimscrobj	stimmotion
0.073326	5	1	1	128	1	0	1	0	0	0
4.4311	5	2	2	149	-1	0	0	1	0	0
8.257	5	3	3	146	1	0	0	1	0	0
12.587	5	4	4	142	1	0	0	1	0	0
25.798	5	5	5	101	1	1	0	0	0	0
30.127	5	6	6	109	-1	1	0	0	0	0
36.454	5	7	7	147	1	0	0	1	0	0
40.287	5	8	8	105	1	1	0	0	0	0
45.617	5	9	9	101	1	1	0	0	0	0
55.089	5	10	10	148	-1	0	0	1	0	0
59.422	5	11	11	130	-1	0	1	0	0	0
63.749	5	12	12	126	1	0	1	0	0	0
67.576	5	13	13	104	-1	1	0	0	0	0
73.405	5	14	14	102	1	1	0	0	0	0
77.241	5	15	15	130	-1	0	1	0	0	0
81.571	5	16	16	103	1	1	0	0	0	0
91.812	5	17	17	124	1	0	1	0	0	0
96.144	5	18	18	108	1	1	0	0	0	0
99.971	5	19	19	109	-1	1	0	0	0	0
110.63	5	20	21	145	1	0	0	1	0	0
113.96	5	21	22	129	-1	0	1	0	0	0
118.29	5	22	23	102	1	1	0	0	0	0
127.73	5	23	24	125	-1	0	1	0	0	0
131.55	5	24	25	123	1	0	1	0	0	0
135.88	5	25	26	124	1	0	1	0	0	0
139.71	5	26	27	110	-1	1	0	0	0	0
144.04	5	27	28	146	1	0	0	1	0	0
150.37	5	28	29	107	-1	1	0	0	0	0
158.03	5	29	31	150	-1	0	0	1	0	0
161.86	5	30	32	123	1	0	1	0	0	0
171.35	5	31	33	144	1	0	0	1	0	0
183.03	5	32	34	145	1	0	0	1	0	0
189.36	5	33	35	127	1	0	1	0	0	0
194.19	5	34	36	143	-1	0	0	1	0	0
203.87	5	35	37	147	1	0	0	1	0	0
212.03	5	36	39	121	1	0	1	0	0	0
222.92	5	37	40	128	1	0	1	0	0	0
227.25	5	38	41	161	0	0	0	0	1	0
231.08	5	39	42	169	0	0	0	0	1	0
236.41	5	40	43	168	0	0	0	0	1	0
240.74	5	41	44	165	0	0	0	0	1	0
244.57	5	42	45	61	0	0	0	0	0	1
249.95	5	43	46	61	0	0	0	0	0	1
254.25	5	44	47	61	0	0	0	0	0	1
260.54	5	45	48	61	0	0	0	0	0	1
264.83	5	46	49	61	0	0	0	0	0	1
305.02	5	47	50	170	0	0	0	0	1	0
308.85	5	48	51	162	0	0	0	0	1	0
314.18	5	49	52	166	0	0	0	0	1	0
318.52	5	50	53	163	0	0	0	0	1	0
322.34	5	51	54	108	1	1	0	0	0	0
326.67	5	52	55	124	1	0	1	0	0	0
330.5	5	53	56	129	-1	0	1	0	0	0
334.83	5	54	57	110	-1	1	0	0	0	0
340.66	5	55	58	147	1	0	0	1	0	0
346.99	5	56	59	145	1	0	0	1	0	0
355.82	5	57	60	130	-1	0	1	0	0	0
359.64	5	58	61	124	1	0	1	0	0	0
367.55	5	59	62	103	1	1	0	0	0	0
370.88	5	60	63	126	1	0	1	0	0	0
