onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0327	3	1	7	1	0.5	1	0	0	1
18.253	3	2	7	1	0.5	1	0	0	0
32.759	3	3	7	1	0.5	1	0	1	0
43.552	3	4	7	1	0.5	1	0	0	0
48.751	3	5	7	1	0.5	1	0	0	0
63.784	3	6	8	1	0.5	-1	0	1	0
80.257	3	7	8	1	0.5	-1	0	0	0
90.602	3	8	8	1	0.5	-1	0	0	1
101.59	3	9	8	1	0.5	-1	0	0	0
107.03	3	10	8	1	0.5	-1	0	0	0
122.06	3	11	6	3	-0.25	1	0	0	1
135.61	3	12	6	3	-0.25	1	0	0	0
146.67	3	13	6	3	-0.25	1	0	1	0
157.65	3	14	6	3	-0.25	1	0	0	0
163.84	3	15	6	3	-0.25	1	0	0	0
178.87	3	16	5	3	-0.25	1	1	0	0
195.68	3	17	5	3	-0.25	1	0	0	0
210.75	3	18	5	3	-0.25	1	0	0	1
221.96	3	19	5	3	-0.25	1	0	0	0
227.32	3	20	5	3	-0.25	1	0	0	0
242.35	3	21	8	2	0	-1	0	1	0
259.06	3	22	8	2	0	-1	0	0	0
269.7	3	23	8	2	0	-1	0	0	1
280.74	3	24	8	2	0	-1	0	0	0
286.62	3	25	8	2	0	-1	0	0	0
301.66	3	26	7	2	0	1	0	0	1
317.55	3	27	7	2	0	1	0	0	0
331.36	3	28	7	2	0	1	0	1	0
342.24	3	29	7	2	0	1	0	0	0
347.42	3	30	7	2	0	1	0	0	0
362.45	3	31	8	3	-0.25	1	0	1	0
378.76	3	32	8	3	-0.25	1	0	0	0
388.59	3	33	8	3	-0.25	1	1	0	0
399.7	3	34	8	3	-0.25	1	0	0	0
404.85	3	35	8	3	-0.25	1	0	0	0
419.88	3	36	7	3	-0.25	1	0	0	1
435.89	3	37	7	3	-0.25	1	0	0	0
450.26	3	38	7	3	-0.25	1	0	1	0
461.42	3	39	7	3	-0.25	1	0	0	0
467.12	3	40	7	3	-0.25	1	0	0	0
482.15	3	41	5	4	-0.375	1	1	0	0
497.98	3	42	5	4	-0.375	1	0	0	0
512.18	3	43	5	4	-0.375	1	0	0	1
523.16	3	44	5	4	-0.375	1	0	0	0
528.33	3	45	5	4	-0.375	1	0	0	0
543.36	3	46	6	4	-0.375	1	0	0	1
555.79	3	47	6	4	-0.375	1	0	0	0
566.18	3	48	6	4	-0.375	1	0	1	0
577.31	3	49	6	4	-0.375	1	0	0	0
582.51	3	50	6	4	-0.375	1	0	0	0
