onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.028	3	1	7	1	0.5	1	1	0	0
20.022	3	2	7	1	0.5	1	0	0	0
37.811	3	3	7	1	0.5	1	0	0	1
49.317	3	4	7	1	0.5	1	0	0	0
55.644	3	5	7	1	0.5	1	0	0	0
71.686	3	6	8	1	0.5	-1	0	1	0
91.809	3	7	8	1	0.5	-1	0	0	0
105.24	3	8	8	1	0.5	-1	0	0	1
116.88	3	9	8	1	0.5	-1	0	0	0
122.85	3	10	8	1	0.5	-1	0	0	0
138.9	3	11	6	3	-0.25	1	0	1	0
153.8	3	12	6	3	-0.25	1	0	0	0
169.91	3	13	6	3	-0.25	1	1	0	0
183.46	3	14	6	3	-0.25	1	0	0	0
189.12	3	15	6	3	-0.25	1	0	0	0
205.16	3	16	5	3	-0.25	1	0	0	1
226	3	17	5	3	-0.25	1	0	0	0
244.07	3	18	5	3	-0.25	1	0	1	0
255.78	3	19	5	3	-0.25	1	0	0	0
261.46	3	20	5	3	-0.25	1	0	0	0
277.5	3	21	8	2	0	1	0	1	0
297.75	3	22	8	2	0	1	0	0	0
311.98	3	23	8	2	0	1	1	0	0
323.35	3	24	8	2	0	1	0	0	0
328.98	3	25	8	2	0	1	0	0	0
345.01	3	26	7	2	0	1	1	0	0
365.25	3	27	7	2	0	1	0	0	0
378.66	3	28	7	2	0	1	0	0	1
390.79	3	29	7	2	0	1	0	0	0
396.71	3	30	7	2	0	1	0	0	0
412.75	3	31	8	3	-0.25	1	0	1	0
428.64	3	32	8	3	-0.25	1	0	0	0
441.31	3	33	8	3	-0.25	1	1	0	0
452.77	3	34	8	3	-0.25	1	0	0	0
459.66	3	35	8	3	-0.25	1	0	0	0
475.7	3	36	7	3	-0.25	1	1	0	0
495.33	3	37	7	3	-0.25	1	0	0	0
509.14	3	38	7	3	-0.25	1	0	0	1
520.19	3	39	7	3	-0.25	1	0	0	0
525.84	3	40	7	3	-0.25	1	0	0	0
541.88	3	41	5	4	-0.375	1	0	0	1
558.13	3	42	5	4	-0.375	1	0	0	0
575.09	3	43	5	4	-0.375	1	0	1	0
586.29	3	44	5	4	-0.375	1	0	0	0
592.11	3	45	5	4	-0.375	1	0	0	0
608.15	3	46	6	4	-0.375	1	0	1	0
622.47	3	47	6	4	-0.375	1	0	0	0
636.23	3	48	6	4	-0.375	1	1	0	0
647.52	3	49	6	4	-0.375	1	0	0	0
652.94	3	50	6	4	-0.375	1	0	0	0
