onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0316	2	1	3	3	-0.25	-1	0	1	0
18.185	2	2	3	3	-0.25	-1	0	0	0
32.079	2	3	3	3	-0.25	-1	0	0	1
44.961	2	4	3	3	-0.25	-1	0	0	0
51.387	2	5	3	3	-0.25	-1	0	0	0
66.415	2	6	2	3	-0.25	1	0	0	1
83.109	2	7	2	3	-0.25	1	0	0	0
94.731	2	8	2	3	-0.25	1	1	0	0
107.71	2	9	2	3	-0.25	1	0	0	0
116.63	2	10	2	3	-0.25	1	0	0	0
131.65	2	11	4	4	-0.375	1	0	1	0
146.9	2	12	4	4	-0.375	1	0	0	0
158.41	2	13	4	4	-0.375	1	0	0	1
171.03	2	14	4	4	-0.375	1	0	0	0
177.44	2	15	4	4	-0.375	1	0	0	0
192.47	2	16	5	1	0.5	1	1	0	0
206.36	2	17	5	1	0.5	1	0	0	0
218.29	2	18	5	1	0.5	1	0	0	1
230.3	2	19	5	1	0.5	1	0	0	0
236.67	2	20	5	1	0.5	1	0	0	0
251.7	2	21	1	4	-0.375	1	1	0	0
266.97	2	22	1	4	-0.375	1	0	0	0
279.09	2	23	1	4	-0.375	1	0	1	0
290.79	2	24	1	4	-0.375	1	0	0	0
297.73	2	25	1	4	-0.375	1	0	0	0
312.76	2	26	6	1	0.5	-1	0	0	1
327.4	2	27	6	1	0.5	-1	0	0	0
339.97	2	28	6	1	0.5	-1	1	0	0
351.72	2	29	6	1	0.5	-1	0	0	0
358.31	2	30	6	1	0.5	-1	0	0	0
373.34	2	31	2	4	-0.375	1	0	0	1
388.43	2	32	2	4	-0.375	1	0	0	0
403.91	2	33	2	4	-0.375	1	1	0	0
415.9	2	34	2	4	-0.375	1	0	0	0
421.96	2	35	2	4	-0.375	1	0	0	0
436.99	2	36	3	4	-0.375	-1	0	1	0
452.46	2	37	3	4	-0.375	-1	0	0	0
466.2	2	38	3	4	-0.375	-1	0	0	1
477.9	2	39	3	4	-0.375	-1	0	0	0
484.26	2	40	3	4	-0.375	-1	0	0	0
499.29	2	41	5	2	0	-1	1	0	0
519.82	2	42	5	2	0	-1	0	0	0
535.04	2	43	5	2	0	-1	0	1	0
547.06	2	44	5	2	0	-1	0	0	0
554.59	2	45	5	2	0	-1	0	0	0
569.62	2	46	6	2	0	-1	0	0	1
583.55	2	47	6	2	0	-1	0	0	0
594.67	2	48	6	2	0	-1	1	0	0
606.72	2	49	6	2	0	-1	0	0	0
612.98	2	50	6	2	0	-1	0	0	0
